trial,energy,sort_ans
0,11666.31245728082,"[['x', '24', '0', '1'], 1, ['x', '1', '2', '4'], 3, ['x', '28', '4', '2'], 5, ['x', '23', '6', '1'], ['x', '29', '7', '3'], 8, ['x', '27', '9', '0'], 10, ['x', '29', '11', '4'], ['x', '26', '12', '1'], 13, ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
1,11632.649511984702,"[0, ['x', '29', '1', '3'], 2, ['x', '28', '3', '0'], 4, ['x', '1', '5', '5'], ['x', '24', '6', '1'], 7, ['x', '0', '8', '5'], 9, ['x', '24', '10', '2'], ['x', '27', '11', '5'], ['x', '22', '12', '1'], 13, ['x', '28', '14', '4'], 15, 16, 17, 18, 19]"
2,10134.990281646678,"[['x', '26', '0', '0'], 1, ['x', '29', '2', '4'], 3, 4, ['x', '1', '5', '4'], 6, ['x', '26', '7', '3'], ['x', '28', '8', '5'], ['x', '28', '9', '1'], 10, ['x', '1', '11', '4'], 12, ['x', '27', '13', '2'], 14, 15, 16, 17, 18, 19, 20]"
3,10224.256508035498,"[['x', '26', '0', '0'], ['x', '29', '1', '3'], 2, 3, 4, ['x', '28', '5', '5'], 6, ['x', '28', '7', '2'], 8, ['x', '29', '9', '0'], 10, ['x', '29', '11', '5'], ['x', '26', '12', '1'], 13, ['x', '1', '14', '5'], 15, 16, 17, 18, 19, 20]"
4,10428.641568889427,"[['x', '22', '0', '1'], ['x', '29', '1', '3'], 2, 3, 4, ['x', '1', '5', '5'], ['x', '26', '6', '0'], 7, ['x', '29', '8', '4'], 9, ['x', '27', '10', '3'], 11, ['x', '25', '12', '1'], 13, ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
5,11875.898159906448,"[['x', '26', '0', '1'], 1, ['x', '29', '2', '4'], ['x', '27', '3', '0'], 4, ['x', '27', '5', '5'], ['x', '22', '6', '0'], ['x', '29', '7', '3'], 8, 9, ['x', '28', '10', '3'], 11, ['x', '28', '12', '1'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22]"
6,11575.280249941348,"[['x', '26', '0', '1'], 1, ['x', '28', '2', '5'], 3, ['x', '26', '4', '2'], 5, ['x', '22', '6', '1'], 7, ['x', '1', '8', '5'], ['x', '28', '9', '1'], 10, ['x', '27', '11', '4'], 12, ['x', '28', '13', '3'], 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
7,10916.98902942334,"[['x', '23', '0', '1'], ['x', '29', '1', '3'], 2, ['x', '29', '3', '1'], 4, ['x', '29', '5', '4'], ['x', '24', '6', '1'], 7, ['x', '1', '8', '5'], ['x', '23', '9', '0'], ['x', '24', '10', '2'], 11, ['x', '28', '12', '0'], 13, ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
8,10171.149501158056,"[['x', '25', '0', '0'], 1, ['x', '28', '2', '5'], ['x', '24', '3', '1'], 4, ['x', '1', '5', '4'], ['x', '29', '6', '1'], 7, ['x', '29', '8', '4'], ['x', '27', '9', '1'], ['x', '29', '10', '2'], 11, 12, ['x', '29', '13', '3'], 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
9,10817.427371072687,"[['x', '22', '0', '1'], ['x', '29', '1', '3'], 2, ['x', '28', '3', '0'], 4, ['x', '1', '5', '5'], ['x', '24', '6', '0'], 7, ['x', '29', '8', '4'], ['x', '28', '9', '1'], 10, ['x', '1', '11', '4'], ['x', '25', '12', '1'], 13, ['x', '1', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
