trial,energy,sort_ans
0,556.0,"[['x', '0', '0', '1'], ['x', '1', '1', '2'], ['x', '13', '2', '5'], ['x', '16', '3', '1'], ['x', '18', '4', '3'], ['x', '23', '5', '4'], ['x', '11', '6', '0'], ['x', '22', '7', '3'], ['x', '28', '8', '5'], ['x', '1', '9', '0'], ['x', '5', '10', '3'], ['x', '9', '11', '5'], ['x', '7', '12', '1'], ['x', '17', '13', '2'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19]"
1,2090.557872570407,"[['x', '7', '0', '1'], ['x', '24', '1', '3'], ['x', '27', '2', '5'], ['x', '9', '3', '0'], ['x', '19', '4', '2'], ['x', '29', '5', '5'], ['x', '4', '6', '1'], ['x', '10', '7', '3'], ['x', '21', '8', '4'], ['x', '2', '9', '0'], ['x', '8', '10', '2'], ['x', '16', '11', '5'], ['x', '0', '12', '1'], ['x', '6', '13', '2'], ['x', '9', '14', '5'], 15, 16, 17, 18, 19]"
2,2745.754400143711,"[['x', '9', '0', '1'], ['x', '23', '1', '3'], ['x', '29', '2', '4'], ['x', '2', '3', '1'], ['x', '10', '4', '2'], ['x', '15', '5', '5'], ['x', '1', '6', '1'], ['x', '6', '7', '2'], ['x', '7', '8', '5'], ['x', '13', '9', '0'], ['x', '14', '10', '2'], ['x', '18', '11', '5'], ['x', '6', '12', '1'], ['x', '12', '13', '2'], ['x', '17', '14', '5'], 15, 16, 17, 18, 19, 20, 21]"
3,848.2739262158648,"[['x', '1', '0', '1'], ['x', '2', '1', '3'], ['x', '13', '2', '4'], ['x', '13', '3', '1'], ['x', '16', '4', '2'], ['x', '29', '5', '5'], ['x', '9', '6', '1'], ['x', '10', '7', '3'], ['x', '28', '8', '4'], ['x', '22', '9', '0'], ['x', '23', '10', '3'], ['x', '7', '11', '4'], ['x', '1', '12', '0'], ['x', '8', '13', '2'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20]"
4,1385.8837423044788,"[['x', '11', '0', '1'], ['x', '19', '1', '2'], ['x', '29', '2', '4'], ['x', '2', '3', '1'], ['x', '15', '4', '3'], ['x', '19', '5', '5'], ['x', '7', '6', '1'], ['x', '9', '7', '3'], ['x', '16', '8', '5'], ['x', '4', '9', '1'], ['x', '6', '10', '3'], ['x', '12', '11', '4'], ['x', '18', '12', '0'], ['x', '22', '13', '2'], ['x', '27', '14', '5'], 15, 16, 17]"
5,2275.825786309473,"[['x', '8', '0', '1'], ['x', '11', '1', '2'], ['x', '27', '2', '5'], ['x', '2', '3', '1'], ['x', '4', '4', '2'], ['x', '7', '5', '5'], ['x', '14', '6', '1'], ['x', '15', '7', '3'], ['x', '19', '8', '5'], ['x', '0', '9', '1'], ['x', '24', '10', '3'], ['x', '27', '11', '4'], ['x', '19', '12', '1'], ['x', '5', '13', '3'], ['x', '22', '14', '4'], 15, 16, 17, 18]"
6,2168.669520373456,"[['x', '0', '0', '1'], ['x', '4', '1', '2'], ['x', '9', '2', '4'], ['x', '3', '3', '0'], ['x', '17', '4', '2'], ['x', '21', '5', '5'], ['x', '12', '6', '1'], ['x', '13', '7', '2'], ['x', '18', '8', '5'], ['x', '9', '9', '1'], ['x', '3', '10', '3'], ['x', '27', '11', '5'], ['x', '4', '12', '1'], ['x', '8', '13', '3'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19]"
7,942.6027054142032,"[['x', '3', '0', '0'], ['x', '5', '1', '3'], ['x', '16', '2', '5'], ['x', '10', '3', '1'], ['x', '13', '4', '2'], ['x', '19', '5', '5'], ['x', '5', '6', '1'], ['x', '21', '7', '3'], ['x', '25', '8', '5'], ['x', '13', '9', '0'], ['x', '7', '10', '2'], ['x', '29', '11', '4'], ['x', '2', '12', '1'], ['x', '9', '13', '2'], ['x', '28', '14', '4'], 15, 16, 17]"
8,1260.077453183465,"[['x', '10', '0', '0'], ['x', '12', '1', '2'], ['x', '28', '2', '4'], ['x', '8', '3', '1'], ['x', '15', '4', '2'], ['x', '27', '5', '5'], ['x', '19', '6', '0'], ['x', '13', '7', '2'], ['x', '15', '8', '5'], ['x', '5', '9', '0'], ['x', '7', '10', '3'], ['x', '15', '11', '4'], ['x', '16', '12', '1'], ['x', '18', '13', '2'], ['x', '23', '14', '5'], 15, 16, 17, 18, 19]"
9,1664.5772142962924,"[['x', '10', '0', '0'], ['x', '14', '1', '2'], ['x', '29', '2', '4'], ['x', '2', '3', '0'], ['x', '6', '4', '2'], ['x', '27', '5', '5'], ['x', '6', '6', '0'], ['x', '11', '7', '2'], ['x', '15', '8', '5'], ['x', '4', '9', '1'], ['x', '24', '10', '2'], ['x', '27', '11', '4'], ['x', '9', '12', '1'], ['x', '11', '13', '3'], ['x', '21', '14', '4'], 15, 16, 17, 18, 19, 20]"
10,1976.8819848819621,"[['x', '16', '0', '1'], ['x', '20', '1', '2'], ['x', '28', '2', '5'], ['x', '9', '3', '0'], ['x', '13', '4', '2'], ['x', '21', '5', '5'], ['x', '5', '6', '1'], ['x', '7', '7', '2'], ['x', '11', '8', '5'], ['x', '7', '9', '0'], ['x', '10', '10', '3'], ['x', '29', '11', '4'], ['x', '10', '12', '1'], ['x', '24', '13', '2'], ['x', '26', '14', '4'], 15, 16, 17, 18]"
11,1659.2328073410208,"[['x', '5', '0', '0'], ['x', '15', '1', '2'], ['x', '29', '2', '5'], ['x', '4', '3', '1'], ['x', '12', '4', '3'], ['x', '19', '5', '5'], ['x', '0', '6', '0'], ['x', '16', '7', '2'], ['x', '23', '8', '5'], ['x', '1', '9', '1'], ['x', '6', '10', '3'], ['x', '8', '11', '4'], ['x', '6', '12', '1'], ['x', '10', '13', '2'], ['x', '17', '14', '4'], 15, 16, 17, 18, 19]"
12,1418.8466691082886,"[['x', '1', '0', '1'], ['x', '11', '1', '3'], ['x', '15', '2', '5'], ['x', '0', '3', '0'], ['x', '17', '4', '2'], ['x', '13', '5', '5'], ['x', '15', '6', '0'], ['x', '19', '7', '3'], ['x', '28', '8', '5'], ['x', '8', '9', '1'], ['x', '24', '10', '2'], ['x', '27', '11', '5'], ['x', '17', '12', '1'], ['x', '20', '13', '2'], ['x', '25', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22]"
13,1937.3384280668834,"[['x', '2', '0', '0'], ['x', '11', '1', '3'], ['x', '24', '2', '5'], ['x', '0', '3', '1'], ['x', '17', '4', '2'], ['x', '29', '5', '4'], ['x', '6', '6', '1'], ['x', '16', '7', '3'], ['x', '19', '8', '5'], ['x', '11', '9', '0'], ['x', '14', '10', '2'], ['x', '27', '11', '5'], ['x', '2', '12', '1'], ['x', '5', '13', '3'], ['x', '29', '14', '5'], 15, 16, 17, 18]"
