trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,D,E
0,900,11666.31245728082,False,11666.31245728082,0.0,0.0,0.0,0.0,777.7541638187213,192.9055600823621,246.98990212498515,3.250747732751192,8.876878927292744
1,900,11632.649511984702,False,11632.649511984702,0.0,0.0,0.0,0.0,775.5099674656468,199.15120242712194,249.90953832460494,9.896086613757547,2.104387579473906
2,900,10134.990281646678,False,10134.990281646678,0.0,0.0,0.0,0.0,675.6660187764452,190.93673541301115,241.04796713497026,4.809222499111212,6.243945951798562
3,900,10224.256508035498,False,10224.256508035498,0.0,0.0,0.0,0.0,681.6171005356998,204.12295414097085,236.61460648504539,9.242567996579945,5.579588638973296
4,900,10428.641568889427,False,10428.641568889427,0.0,0.0,0.0,0.0,695.2427712592951,189.39189233574413,246.3238023426958,9.331643252957114,1.4593407320168579
5,900,11875.898159906448,False,11875.898159906448,0.0,0.0,0.0,0.0,791.7265439937632,199.680603210135,237.47281813512254,7.813070480016927,3.8665741911263773
6,900,11575.280249941348,False,11575.280249941348,0.0,0.0,0.0,0.0,771.6853499960898,201.39511332137448,235.73909381854662,7.471017227268819,2.353294436832638
7,900,10916.98902942334,False,10916.98902942334,0.0,0.0,0.0,0.0,727.7992686282226,203.40728773260403,246.24066807186168,8.659753117873283,3.428058538082967
8,900,10171.149501158056,False,10171.149501158056,0.0,0.0,0.0,0.0,678.076633410537,191.47186950980534,247.9856059349344,7.083001442528271,3.7892604593305923
9,900,10817.427371072687,False,10817.427371072687,0.0,0.0,0.0,0.0,721.1618247381791,198.8154477986663,234.74820493452364,9.401486878898123,6.614443227708425
10,900,10553.189207356872,False,10553.189207356872,0.0,0.0,0.0,0.0,703.5459471571248,186.35648530411865,249.73521738354455,3.0049267512874485,3.4451361842335237
11,900,10433.026536589743,False,10433.026536589743,0.0,0.0,0.0,0.0,695.5351024393162,204.11265006469543,234.79998697370232,2.5512950172788234,6.3213094044174705
12,900,11681.537273060661,False,11681.537273060661,0.0,0.0,0.0,0.0,778.7691515373774,202.67229236076253,230.04870524328337,6.181751898529448,9.549865238852114
13,900,9999.46888553838,False,9999.46888553838,0.0,0.0,0.0,0.0,666.631259035892,187.69760763618982,230.29682476735948,2.0612745342326164,8.260178498655772
14,900,10396.154739936466,False,10396.154739936466,0.0,0.0,0.0,0.0,693.0769826624311,196.83796531460533,237.70256785606125,6.873323935416637,9.626227567825005
15,900,11325.697115653657,False,11325.697115653657,0.0,0.0,0.0,0.0,755.0464743769104,191.30327098881662,234.41958924052406,5.382847779428858,9.642004656170839
16,900,10861.493460593272,False,10861.493460593272,0.0,0.0,0.0,0.0,724.0995640395515,193.97381765793025,236.78247094950365,3.254714770033681,4.441362750708146
17,900,10149.807110434163,False,10149.807110434163,0.0,0.0,0.0,0.0,676.6538073622776,186.3001377451227,242.86684523197562,3.4523676069397906,9.346122694423006
18,900,11058.477350262872,False,11058.477350262872,0.0,0.0,0.0,0.0,737.2318233508581,202.29335967798187,232.09584869840546,5.592495207420233,6.518599773138431
19,900,11109.705101316455,False,11109.705101316455,0.0,0.0,0.0,0.0,740.6470067544303,198.71897360866333,239.2600216916343,7.513514975515501,3.940170057073093
20,900,11564.372390226103,False,11564.372390226103,0.0,0.0,0.0,0.0,770.9581593484069,189.6477101598661,239.51576149549967,3.7122968874947664,2.7281839471898337
21,900,11928.834055430765,False,11928.834055430765,0.0,0.0,0.0,0.0,795.2556036953844,190.06967296898648,248.87485539643006,3.2389254758525965,6.543148867285142
22,900,11112.603733058904,False,11112.603733058904,0.0,0.0,0.0,0.0,740.8402488705937,198.10045451624492,232.46300978495736,9.246250807189481,9.018931540875375
23,900,9959.405966996637,False,9959.405966996637,0.0,0.0,0.0,0.0,663.9603977997758,188.1187613563228,243.00579618548963,7.017940776319995,7.608600183354279
24,900,11843.963958342956,False,11843.963958342956,0.0,0.0,0.0,0.0,789.5975972228638,194.27512877781933,231.4903559022923,3.8958919750520105,1.4657590279459276
25,900,11470.876683205992,False,3108.173982957892,0.0,0.0,8362.702700248103,0.0,777.0434957394727,186.70118694514673,239.88520307844266,2.303774848553196,4.360028121475661
26,900,10069.553978703925,False,1571.3408088774167,0.0,0.0,8451.441075318813,46.772094507695684,785.670404438708,195.4186869255699,239.48512676573807,1.9700328846897,9.354418901539137
27,900,10950.597753658483,False,10950.597753658483,0.0,0.0,0.0,0.0,730.0398502438989,195.96556269287046,231.0334468223622,9.985419429728221,3.0566153167510364
28,900,10562.91512437722,False,10562.91512437722,0.0,0.0,0.0,0.0,704.194341625148,189.71517872987755,246.09464942993134,5.8568047819505695,2.9818255711947184
29,900,11710.79505789622,False,11710.79505789622,0.0,0.0,0.0,0.0,780.7196705264147,199.5277968870019,231.87280485699148,8.972574625893152,6.2009684803074485
