trial,energy,sort_ans
0,822.9134064065765,"[['x', '13', '0', '1'], ['x', '17', '1', '3'], ['x', '23', '2', '5'], ['x', '1', '3', '1'], ['x', '8', '4', '3'], ['x', '28', '5', '5'], ['x', '2', '6', '0'], ['x', '25', '7', '2'], ['x', '26', '8', '4'], ['x', '7', '9', '1'], ['x', '15', '10', '3'], ['x', '27', '11', '5'], ['x', '15', '12', '1'], ['x', '18', '13', '3'], ['x', '24', '14', '4'], 15, 16, 17, 18, 19, 20]"
1,1373.1663719309945,"[['x', '5', '0', '0'], ['x', '24', '1', '3'], ['x', '28', '2', '5'], ['x', '5', '3', '1'], ['x', '7', '4', '3'], ['x', '27', '5', '5'], ['x', '11', '6', '0'], ['x', '22', '7', '3'], ['x', '24', '8', '5'], ['x', '16', '9', '1'], ['x', '17', '10', '3'], ['x', '18', '11', '4'], ['x', '13', '12', '1'], ['x', '15', '13', '2'], ['x', '17', '14', '5'], 15, 16, 17, 18, 19, 20]"
2,1907.7283480747355,"[['x', '11', '0', '0'], ['x', '20', '1', '3'], ['x', '22', '2', '4'], ['x', '2', '3', '0'], ['x', '7', '4', '2'], ['x', '12', '5', '5'], ['x', '18', '6', '0'], ['x', '1', '7', '3'], ['x', '29', '8', '4'], ['x', '21', '9', '0'], ['x', '10', '10', '3'], ['x', '16', '11', '4'], ['x', '1', '12', '1'], ['x', '4', '13', '3'], ['x', '8', '14', '5'], 15, 16]"
3,1322.8601355538704,"[['x', '16', '0', '0'], ['x', '24', '1', '3'], ['x', '28', '2', '4'], ['x', '9', '3', '0'], ['x', '20', '4', '3'], ['x', '25', '5', '5'], ['x', '2', '6', '0'], ['x', '4', '7', '3'], ['x', '4', '8', '4'], ['x', '14', '9', '0'], ['x', '16', '10', '2'], ['x', '19', '11', '4'], ['x', '4', '12', '0'], ['x', '8', '13', '2'], ['x', '15', '14', '4'], 15, 16, 17, 18, 19, 20]"
4,667.3806185987887,"[['x', '3', '0', '0'], ['x', '5', '1', '3'], ['x', '13', '2', '5'], ['x', '16', '3', '1'], ['x', '18', '4', '2'], ['x', '24', '5', '5'], ['x', '12', '6', '1'], ['x', '21', '7', '3'], ['x', '29', '8', '4'], ['x', '7', '9', '0'], ['x', '10', '10', '2'], ['x', '24', '11', '4'], ['x', '9', '12', '1'], ['x', '16', '13', '2'], ['x', '21', '14', '4'], 15, 16]"
5,1717.2460320908867,"[['x', '0', '0', '1'], ['x', '2', '1', '3'], ['x', '3', '2', '4'], ['x', '6', '3', '0'], ['x', '12', '4', '3'], ['x', '26', '5', '5'], ['x', '26', '6', '1'], 7, ['x', '1', '8', '5'], ['x', '5', '9', '1'], ['x', '24', '10', '2'], ['x', '25', '11', '4'], ['x', '2', '12', '0'], ['x', '6', '13', '3'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
6,1663.1051981296368,"[['x', '22', '0', '1'], 1, ['x', '6', '2', '4'], ['x', '0', '3', '0'], ['x', '17', '4', '3'], ['x', '26', '5', '5'], ['x', '2', '6', '0'], ['x', '9', '7', '3'], ['x', '15', '8', '4'], ['x', '5', '9', '0'], ['x', '8', '10', '3'], ['x', '27', '11', '5'], ['x', '9', '12', '0'], ['x', '21', '13', '3'], ['x', '27', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
7,1555.7196249508925,"[['x', '8', '0', '0'], ['x', '14', '1', '3'], ['x', '29', '2', '4'], ['x', '5', '3', '0'], ['x', '10', '4', '2'], ['x', '12', '5', '4'], ['x', '4', '6', '1'], ['x', '6', '7', '3'], ['x', '18', '8', '5'], ['x', '2', '9', '1'], ['x', '5', '10', '2'], ['x', '16', '11', '4'], ['x', '13', '12', '0'], ['x', '2', '13', '3'], ['x', '6', '14', '4'], 15, 16, 17]"
8,1508.7738456687184,"[['x', '2', '0', '0'], ['x', '6', '1', '3'], ['x', '9', '2', '4'], ['x', '6', '3', '1'], ['x', '12', '4', '3'], ['x', '16', '5', '4'], ['x', '17', '6', '0'], ['x', '3', '7', '3'], ['x', '5', '8', '5'], ['x', '16', '9', '0'], ['x', '23', '10', '3'], ['x', '26', '11', '4'], ['x', '0', '12', '0'], ['x', '19', '13', '3'], ['x', '29', '14', '4'], 15, 16, 17, 18, 19, 20]"
9,1444.2004126566517,"[['x', '4', '0', '1'], ['x', '17', '1', '3'], ['x', '21', '2', '4'], ['x', '7', '3', '1'], ['x', '13', '4', '3'], ['x', '26', '5', '5'], ['x', '3', '6', '1'], ['x', '10', '7', '2'], ['x', '22', '8', '5'], ['x', '18', '9', '0'], ['x', '25', '10', '3'], ['x', '28', '11', '4'], ['x', '0', '12', '1'], ['x', '4', '13', '2'], ['x', '9', '14', '4'], 15, 16, 17, 18, 19, 20]"
10,772.0042505831098,"[['x', '19', '0', '1'], ['x', '8', '1', '2'], ['x', '28', '2', '5'], ['x', '15', '3', '1'], ['x', '19', '4', '3'], ['x', '27', '5', '5'], ['x', '11', '6', '0'], ['x', '17', '7', '3'], ['x', '29', '8', '4'], ['x', '6', '9', '0'], ['x', '24', '10', '3'], ['x', '25', '11', '5'], ['x', '2', '12', '1'], ['x', '5', '13', '3'], ['x', '10', '14', '4'], 15, 16, 17, 18, 19, 20]"
11,1564.0060170750348,"[['x', '2', '0', '1'], ['x', '5', '1', '3'], ['x', '6', '2', '5'], ['x', '29', '3', '0'], 4, ['x', '1', '5', '5'], ['x', '1', '6', '0'], ['x', '6', '7', '3'], ['x', '11', '8', '5'], ['x', '4', '9', '0'], ['x', '11', '10', '3'], ['x', '18', '11', '4'], ['x', '11', '12', '1'], ['x', '16', '13', '3'], ['x', '23', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
