trial,energy,sort_ans
0,787.8782903917145,"[['x', '17', '0', '1'], ['x', '21', '1', '3'], ['x', '25', '2', '5'], ['x', '4', '3', '1'], ['x', '6', '4', '3'], ['x', '28', '5', '5'], ['x', '5', '6', '0'], ['x', '13', '7', '3'], ['x', '21', '8', '5'], ['x', '1', '9', '0'], ['x', '12', '10', '3'], ['x', '28', '11', '4'], ['x', '2', '12', '1'], ['x', '4', '13', '2'], ['x', '27', '14', '5'], 15, 16, 17]"
1,1637.7785868079063,"[['x', '6', '0', '0'], ['x', '12', '1', '3'], ['x', '27', '2', '5'], ['x', '29', '3', '1'], 4, ['x', '22', '5', '5'], ['x', '15', '6', '0'], ['x', '25', '7', '2'], ['x', '26', '8', '4'], ['x', '12', '9', '1'], ['x', '15', '10', '3'], ['x', '23', '11', '4'], ['x', '2', '12', '0'], ['x', '8', '13', '3'], ['x', '22', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
2,1611.2610092056002,"[['x', '14', '0', '0'], ['x', '18', '1', '3'], ['x', '20', '2', '4'], ['x', '3', '3', '1'], ['x', '5', '4', '3'], ['x', '29', '5', '4'], ['x', '5', '6', '1'], 7, ['x', '3', '8', '4'], ['x', '9', '9', '0'], ['x', '24', '10', '2'], ['x', '26', '11', '4'], ['x', '9', '12', '1'], ['x', '11', '13', '3'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
3,1211.9637596589728,"[['x', '0', '0', '0'], ['x', '18', '1', '3'], ['x', '20', '2', '5'], ['x', '6', '3', '1'], ['x', '12', '4', '2'], ['x', '28', '5', '4'], ['x', '1', '6', '1'], ['x', '9', '7', '3'], ['x', '19', '8', '4'], ['x', '15', '9', '0'], ['x', '21', '10', '2'], ['x', '27', '11', '5'], ['x', '11', '12', '0'], ['x', '16', '13', '2'], ['x', '23', '14', '5'], 15, 16]"
4,755.2082213351987,"[['x', '7', '0', '0'], ['x', '12', '1', '3'], ['x', '17', '2', '5'], ['x', '6', '3', '1'], ['x', '18', '4', '2'], ['x', '21', '5', '5'], ['x', '1', '6', '0'], ['x', '3', '7', '2'], ['x', '6', '8', '5'], ['x', '10', '9', '0'], ['x', '2', '10', '3'], ['x', '6', '11', '4'], ['x', '12', '12', '0'], ['x', '17', '13', '3'], ['x', '29', '14', '5'], 15, 16]"
5,1594.6053436194707,"[['x', '0', '0', '0'], ['x', '14', '1', '3'], ['x', '4', '2', '4'], ['x', '3', '3', '0'], ['x', '17', '4', '3'], ['x', '22', '5', '4'], ['x', '3', '6', '1'], ['x', '12', '7', '3'], ['x', '15', '8', '4'], ['x', '13', '9', '0'], ['x', '21', '10', '3'], ['x', '3', '11', '5'], ['x', '18', '12', '0'], ['x', '7', '13', '3'], ['x', '26', '14', '4'], 15, 16, 17]"
6,1748.8152290447397,"[['x', '13', '0', '0'], ['x', '16', '1', '3'], ['x', '19', '2', '4'], ['x', '0', '3', '0'], ['x', '7', '4', '2'], ['x', '28', '5', '4'], ['x', '24', '6', '1'], 7, ['x', '28', '8', '5'], ['x', '10', '9', '0'], ['x', '15', '10', '3'], ['x', '21', '11', '5'], ['x', '6', '12', '1'], ['x', '11', '13', '3'], ['x', '25', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
7,1041.0468369782866,"[['x', '2', '0', '1'], ['x', '2', '1', '2'], ['x', '27', '2', '5'], ['x', '6', '3', '1'], ['x', '9', '4', '3'], ['x', '26', '5', '5'], ['x', '14', '6', '1'], ['x', '21', '7', '3'], ['x', '7', '8', '4'], ['x', '0', '9', '0'], ['x', '3', '10', '3'], ['x', '29', '11', '4'], ['x', '8', '12', '0'], ['x', '13', '13', '3'], ['x', '27', '14', '4'], 15, 16, 17, 18, 19]"
8,1635.6597740481757,"[['x', '5', '0', '1'], ['x', '6', '1', '2'], ['x', '8', '2', '4'], ['x', '19', '3', '0'], ['x', '1', '4', '3'], ['x', '27', '5', '5'], ['x', '12', '6', '0'], ['x', '17', '7', '3'], ['x', '20', '8', '5'], ['x', '7', '9', '1'], ['x', '11', '10', '3'], ['x', '17', '11', '4'], ['x', '7', '12', '0'], ['x', '11', '13', '2'], ['x', '27', '14', '4'], 15, 16, 17, 18, 19]"
9,1192.2994312440824,"[['x', '9', '0', '1'], ['x', '7', '1', '3'], ['x', '28', '2', '5'], ['x', '14', '3', '0'], ['x', '19', '4', '2'], ['x', '23', '5', '4'], ['x', '2', '6', '1'], ['x', '9', '7', '3'], ['x', '12', '8', '5'], ['x', '7', '9', '0'], ['x', '23', '10', '3'], ['x', '24', '11', '5'], ['x', '0', '12', '0'], ['x', '3', '13', '3'], ['x', '29', '14', '4'], 15, 16, 17, 18, 19, 20]"
