trial,energy,sort_ans
0,1887.9559659738825,"[['x', '7', '0', '0'], ['x', '9', '1', '3'], ['x', '29', '2', '4'], ['x', '4', '3', '0'], ['x', '11', '4', '2'], ['x', '22', '5', '5'], ['x', '19', '6', '0'], ['x', '2', '7', '3'], ['x', '12', '8', '4'], ['x', '2', '9', '0'], ['x', '4', '10', '3'], ['x', '10', '11', '4'], ['x', '9', '12', '1'], ['x', '17', '13', '3'], ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21]"
1,1378.9064698138554,"[['x', '16', '0', '0'], ['x', '5', '1', '3'], ['x', '9', '2', '4'], ['x', '4', '3', '1'], ['x', '15', '4', '3'], ['x', '19', '5', '5'], ['x', '22', '6', '1'], ['x', '23', '7', '3'], ['x', '15', '8', '4'], ['x', '0', '9', '1'], ['x', '25', '10', '3'], ['x', '29', '11', '4'], ['x', '1', '12', '0'], ['x', '6', '13', '3'], ['x', '21', '14', '5'], 15, 16, 17, 18, 19, 20, 21]"
2,1875.6457654129463,"[['x', '10', '0', '1'], ['x', '12', '1', '3'], ['x', '28', '2', '4'], ['x', '5', '3', '0'], 4, ['x', '27', '5', '5'], ['x', '0', '6', '1'], ['x', '2', '7', '3'], ['x', '6', '8', '4'], ['x', '15', '9', '0'], ['x', '19', '10', '3'], ['x', '20', '11', '5'], ['x', '5', '12', '1'], ['x', '7', '13', '3'], ['x', '20', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
3,1764.488002115204,"[['x', '6', '0', '0'], ['x', '8', '1', '3'], ['x', '15', '2', '4'], ['x', '14', '3', '0'], ['x', '18', '4', '3'], ['x', '29', '5', '4'], ['x', '13', '6', '1'], ['x', '22', '7', '3'], ['x', '24', '8', '5'], ['x', '27', '9', '1'], 10, ['x', '1', '11', '5'], ['x', '0', '12', '0'], ['x', '15', '13', '2'], ['x', '24', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
4,1833.4016658231958,"[['x', '10', '0', '1'], ['x', '14', '1', '3'], ['x', '19', '2', '5'], ['x', '0', '3', '0'], ['x', '9', '4', '3'], ['x', '27', '5', '5'], ['x', '0', '6', '1'], ['x', '7', '7', '3'], ['x', '9', '8', '4'], ['x', '14', '9', '0'], ['x', '24', '10', '2'], ['x', '27', '11', '4'], ['x', '19', '12', '0'], 13, ['x', '4', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
5,1023.6473907009404,"[['x', '3', '0', '1'], ['x', '4', '1', '2'], ['x', '8', '2', '5'], ['x', '20', '3', '1'], ['x', '22', '4', '3'], ['x', '4', '5', '5'], ['x', '8', '6', '0'], ['x', '10', '7', '3'], ['x', '29', '8', '4'], ['x', '7', '9', '1'], ['x', '14', '10', '3'], ['x', '15', '11', '4'], ['x', '5', '12', '1'], ['x', '10', '13', '2'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19]"
6,1965.0462629212834,"[['x', '13', '0', '0'], ['x', '18', '1', '3'], ['x', '19', '2', '5'], ['x', '17', '3', '0'], ['x', '9', '4', '3'], ['x', '24', '5', '4'], ['x', '2', '6', '1'], ['x', '3', '7', '3'], ['x', '5', '8', '4'], ['x', '1', '9', '1'], ['x', '8', '10', '3'], ['x', '27', '11', '5'], ['x', '0', '12', '0'], ['x', '10', '13', '2'], ['x', '29', '14', '5'], 15, 16, 17, 18]"
7,2589.720253188344,"[['x', '20', '0', '0'], ['x', '23', '1', '3'], ['x', '28', '2', '4'], ['x', '29', '3', '1'], 4, ['x', '2', '5', '4'], ['x', '17', '6', '0'], ['x', '2', '7', '3'], ['x', '8', '8', '4'], ['x', '8', '9', '0'], ['x', '12', '10', '3'], ['x', '27', '11', '5'], ['x', '3', '12', '0'], ['x', '19', '13', '3'], ['x', '24', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
8,1011.0850302465988,"[['x', '1', '0', '1'], ['x', '13', '1', '3'], ['x', '3', '2', '4'], ['x', '0', '3', '0'], ['x', '4', '4', '2'], ['x', '27', '5', '5'], ['x', '14', '6', '1'], ['x', '15', '7', '2'], ['x', '20', '8', '4'], ['x', '3', '9', '1'], ['x', '16', '10', '3'], ['x', '21', '11', '5'], ['x', '8', '12', '0'], ['x', '13', '13', '2'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19]"
9,2481.7959066434023,"[['x', '10', '0', '0'], ['x', '23', '1', '3'], ['x', '25', '2', '5'], ['x', '13', '3', '0'], ['x', '17', '4', '3'], ['x', '25', '5', '4'], ['x', '24', '6', '1'], 7, ['x', '28', '8', '5'], ['x', '8', '9', '0'], ['x', '10', '10', '3'], ['x', '23', '11', '4'], ['x', '4', '12', '0'], ['x', '12', '13', '3'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
10,1767.6090152532815,"[['x', '14', '0', '1'], ['x', '24', '1', '3'], ['x', '28', '2', '5'], ['x', '29', '3', '1'], 4, ['x', '1', '5', '5'], ['x', '6', '6', '0'], ['x', '25', '7', '2'], ['x', '29', '8', '4'], ['x', '0', '9', '0'], ['x', '1', '10', '3'], ['x', '6', '11', '4'], ['x', '1', '12', '1'], ['x', '5', '13', '3'], ['x', '15', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
11,2052.698333991453,"[['x', '0', '0', '0'], ['x', '9', '1', '3'], ['x', '29', '2', '4'], ['x', '5', '3', '0'], ['x', '18', '4', '3'], ['x', '27', '5', '5'], ['x', '3', '6', '0'], ['x', '16', '7', '3'], ['x', '21', '8', '5'], ['x', '20', '9', '0'], ['x', '22', '10', '3'], ['x', '9', '11', '4'], ['x', '10', '12', '0'], ['x', '23', '13', '2'], ['x', '25', '14', '4'], 15, 16, 17, 18, 19]"
12,2468.01018283358,"[['x', '7', '0', '0'], ['x', '13', '1', '3'], ['x', '15', '2', '4'], ['x', '17', '3', '0'], ['x', '3', '4', '3'], ['x', '29', '5', '5'], ['x', '2', '6', '0'], ['x', '7', '7', '3'], ['x', '29', '8', '4'], ['x', '0', '9', '0'], ['x', '2', '10', '3'], ['x', '5', '11', '4'], ['x', '13', '12', '0'], 13, ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
13,989.2524656396854,"[['x', '15', '0', '0'], ['x', '21', '1', '3'], ['x', '24', '2', '5'], ['x', '1', '3', '1'], ['x', '3', '4', '2'], ['x', '20', '5', '5'], ['x', '1', '6', '0'], ['x', '9', '7', '3'], ['x', '14', '8', '4'], ['x', '16', '9', '1'], ['x', '17', '10', '3'], ['x', '27', '11', '5'], ['x', '4', '12', '0'], ['x', '15', '13', '2'], ['x', '28', '14', '5'], 15, 16, 17, 18]"
14,2369.0054950377735,"[['x', '7', '0', '0'], ['x', '9', '1', '3'], ['x', '27', '2', '5'], ['x', '9', '3', '1'], 4, ['x', '21', '5', '4'], ['x', '3', '6', '0'], ['x', '11', '7', '3'], ['x', '16', '8', '5'], ['x', '1', '9', '0'], ['x', '10', '10', '3'], ['x', '29', '11', '4'], ['x', '12', '12', '0'], ['x', '19', '13', '3'], ['x', '27', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23]"
15,2341.6766072488017,"[['x', '1', '0', '0'], ['x', '10', '1', '3'], ['x', '19', '2', '4'], ['x', '29', '3', '1'], 4, ['x', '1', '5', '5'], ['x', '6', '6', '0'], ['x', '11', '7', '3'], ['x', '23', '8', '5'], ['x', '4', '9', '0'], ['x', '5', '10', '3'], ['x', '7', '11', '4'], ['x', '10', '12', '0'], ['x', '24', '13', '2'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
16,1027.1597852767518,"[['x', '18', '0', '1'], ['x', '24', '1', '3'], ['x', '25', '2', '5'], ['x', '4', '3', '1'], ['x', '7', '4', '2'], ['x', '9', '5', '5'], ['x', '3', '6', '0'], ['x', '10', '7', '3'], ['x', '15', '8', '4'], ['x', '15', '9', '0'], ['x', '20', '10', '3'], ['x', '27', '11', '4'], ['x', '10', '12', '1'], ['x', '14', '13', '3'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19]"
17,968.2033368556695,"[['x', '16', '0', '0'], ['x', '24', '1', '3'], ['x', '26', '2', '4'], ['x', '2', '3', '1'], ['x', '5', '4', '2'], ['x', '15', '5', '4'], ['x', '0', '6', '0'], ['x', '15', '7', '3'], ['x', '18', '8', '5'], ['x', '11', '9', '0'], ['x', '17', '10', '2'], ['x', '29', '11', '5'], ['x', '10', '12', '1'], ['x', '12', '13', '2'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22]"
18,904.3362376623627,"[['x', '2', '0', '0'], ['x', '19', '1', '2'], ['x', '29', '2', '4'], ['x', '0', '3', '1'], ['x', '5', '4', '3'], ['x', '9', '5', '4'], ['x', '5', '6', '1'], ['x', '15', '7', '2'], ['x', '29', '8', '5'], ['x', '6', '9', '1'], ['x', '20', '10', '3'], ['x', '22', '11', '4'], ['x', '4', '12', '0'], ['x', '9', '13', '3'], ['x', '28', '14', '4'], 15, 16, 17, 18]"
19,1299.0834158073994,"[['x', '4', '0', '0'], ['x', '6', '1', '2'], ['x', '13', '2', '5'], ['x', '9', '3', '0'], ['x', '18', '4', '3'], ['x', '27', '5', '5'], ['x', '0', '6', '0'], ['x', '11', '7', '2'], ['x', '28', '8', '5'], ['x', '8', '9', '0'], ['x', '10', '10', '3'], ['x', '24', '11', '5'], ['x', '16', '12', '0'], ['x', '9', '13', '2'], ['x', '11', '14', '4'], 15, 16, 17, 18]"
20,2477.6778009474056,"[['x', '12', '0', '0'], ['x', '15', '1', '3'], ['x', '27', '2', '5'], ['x', '28', '3', '1'], 4, ['x', '1', '5', '5'], ['x', '1', '6', '0'], ['x', '3', '7', '3'], ['x', '6', '8', '4'], ['x', '3', '9', '0'], ['x', '5', '10', '3'], ['x', '19', '11', '4'], ['x', '5', '12', '0'], ['x', '21', '13', '3'], ['x', '26', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
21,1933.002765286823,"[['x', '9', '0', '0'], ['x', '11', '1', '3'], ['x', '17', '2', '5'], ['x', '8', '3', '0'], ['x', '12', '4', '3'], ['x', '17', '5', '4'], ['x', '19', '6', '0'], ['x', '21', '7', '3'], ['x', '29', '8', '4'], ['x', '0', '9', '0'], ['x', '2', '10', '3'], ['x', '4', '11', '4'], ['x', '4', '12', '0'], ['x', '10', '13', '2'], ['x', '29', '14', '5'], 15, 16, 17]"
22,2611.9275481202285,"[['x', '15', '0', '0'], ['x', '3', '1', '3'], ['x', '19', '2', '4'], ['x', '7', '3', '1'], ['x', '15', '4', '3'], ['x', '26', '5', '4'], ['x', '3', '6', '0'], ['x', '6', '7', '3'], ['x', '10', '8', '4'], ['x', '6', '9', '0'], 10, ['x', '27', '11', '5'], ['x', '7', '12', '0'], ['x', '19', '13', '3'], ['x', '25', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
23,2309.8565726150546,"[['x', '7', '0', '0'], ['x', '10', '1', '3'], ['x', '16', '2', '4'], ['x', '29', '3', '1'], 4, ['x', '0', '5', '4'], ['x', '16', '6', '0'], ['x', '3', '7', '3'], ['x', '6', '8', '4'], ['x', '1', '9', '0'], ['x', '5', '10', '3'], ['x', '29', '11', '4'], ['x', '11', '12', '0'], ['x', '18', '13', '3'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
24,2014.6007457238975,"[['x', '16', '0', '0'], ['x', '23', '1', '3'], ['x', '28', '2', '4'], ['x', '7', '3', '0'], ['x', '12', '4', '3'], ['x', '25', '5', '5'], ['x', '2', '6', '0'], ['x', '8', '7', '3'], ['x', '14', '8', '4'], ['x', '19', '9', '0'], ['x', '22', '10', '3'], ['x', '26', '11', '5'], ['x', '26', '12', '0'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
25,2028.1739918202165,"[['x', '15', '0', '0'], ['x', '4', '1', '3'], ['x', '13', '2', '5'], ['x', '1', '3', '0'], ['x', '10', '4', '3'], ['x', '13', '5', '4'], ['x', '19', '6', '0'], ['x', '21', '7', '3'], ['x', '3', '8', '4'], ['x', '22', '9', '0'], ['x', '25', '10', '3'], ['x', '27', '11', '4'], ['x', '10', '12', '0'], ['x', '14', '13', '3'], ['x', '29', '14', '4'], 15, 16, 17, 18, 19, 20, 21]"
26,2031.734421726207,"[['x', '0', '0', '0'], ['x', '4', '1', '3'], ['x', '29', '2', '5'], ['x', '3', '3', '0'], ['x', '7', '4', '3'], ['x', '29', '5', '4'], ['x', '14', '6', '0'], ['x', '16', '7', '3'], ['x', '19', '8', '4'], ['x', '11', '9', '1'], ['x', '21', '10', '3'], ['x', '27', '11', '4'], ['x', '7', '12', '0'], 13, ['x', '24', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
27,1557.9977421841395,"[['x', '4', '0', '1'], ['x', '15', '1', '3'], ['x', '16', '2', '5'], ['x', '17', '3', '1'], ['x', '16', '4', '2'], ['x', '20', '5', '4'], ['x', '4', '6', '0'], ['x', '10', '7', '2'], ['x', '13', '8', '5'], ['x', '16', '9', '0'], ['x', '24', '10', '3'], ['x', '27', '11', '4'], ['x', '2', '12', '1'], ['x', '5', '13', '2'], ['x', '22', '14', '4'], 15, 16, 17, 18]"
28,2202.771413907898,"[['x', '19', '0', '0'], ['x', '14', '1', '3'], ['x', '28', '2', '4'], ['x', '6', '3', '1'], ['x', '14', '4', '2'], ['x', '16', '5', '5'], ['x', '13', '6', '0'], ['x', '19', '7', '3'], ['x', '21', '8', '5'], ['x', '8', '9', '0'], ['x', '10', '10', '3'], ['x', '17', '11', '5'], ['x', '15', '12', '0'], ['x', '21', '13', '3'], ['x', '29', '14', '5'], 15, 16, 17, 18]"
29,1023.5183757615814,"[['x', '3', '0', '1'], ['x', '11', '1', '2'], ['x', '19', '2', '4'], ['x', '12', '3', '1'], ['x', '15', '4', '3'], ['x', '26', '5', '5'], ['x', '0', '6', '1'], ['x', '20', '7', '3'], ['x', '27', '8', '5'], ['x', '11', '9', '0'], ['x', '25', '10', '3'], ['x', '26', '11', '4'], ['x', '1', '12', '1'], ['x', '5', '13', '3'], ['x', '29', '14', '4'], 15, 16, 17, 18, 19, 20, 21]"
30,2229.1489080652645,"[['x', '18', '0', '0'], ['x', '5', '1', '3'], ['x', '6', '2', '4'], ['x', '13', '3', '1'], ['x', '19', '4', '3'], ['x', '15', '5', '4'], ['x', '12', '6', '0'], ['x', '17', '7', '3'], ['x', '20', '8', '4'], ['x', '22', '9', '0'], ['x', '25', '10', '3'], ['x', '26', '11', '5'], ['x', '14', '12', '0'], ['x', '6', '13', '3'], ['x', '13', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23]"
31,861.608583314317,"[['x', '22', '0', '1'], ['x', '23', '1', '2'], ['x', '29', '2', '5'], ['x', '9', '3', '0'], ['x', '18', '4', '3'], ['x', '23', '5', '5'], ['x', '7', '6', '1'], ['x', '13', '7', '3'], ['x', '29', '8', '4'], ['x', '1', '9', '1'], ['x', '2', '10', '2'], ['x', '5', '11', '4'], ['x', '2', '12', '1'], ['x', '6', '13', '3'], ['x', '12', '14', '5'], 15, 16, 17, 18, 19, 20]"
32,2137.8029778101936,"[['x', '1', '0', '0'], ['x', '9', '1', '3'], ['x', '12', '2', '4'], ['x', '10', '3', '0'], ['x', '18', '4', '3'], ['x', '22', '5', '4'], ['x', '16', '6', '1'], ['x', '23', '7', '3'], ['x', '29', '8', '4'], ['x', '0', '9', '0'], ['x', '3', '10', '3'], ['x', '12', '11', '5'], ['x', '25', '12', '1'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
33,2426.0070949183246,"[['x', '13', '0', '0'], ['x', '15', '1', '3'], ['x', '16', '2', '4'], ['x', '1', '3', '0'], ['x', '5', '4', '3'], ['x', '27', '5', '5'], ['x', '11', '6', '0'], ['x', '18', '7', '3'], ['x', '29', '8', '4'], ['x', '2', '9', '1'], ['x', '3', '10', '3'], ['x', '14', '11', '4'], ['x', '19', '12', '0'], 13, ['x', '2', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
34,1923.7577543359912,"[['x', '1', '0', '1'], ['x', '13', '1', '3'], ['x', '29', '2', '4'], ['x', '2', '3', '0'], ['x', '7', '4', '3'], ['x', '27', '5', '5'], ['x', '26', '6', '1'], 7, ['x', '4', '8', '4'], ['x', '10', '9', '0'], ['x', '11', '10', '3'], ['x', '13', '11', '4'], ['x', '15', '12', '0'], ['x', '19', '13', '3'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
35,2006.0749939788002,"[['x', '11', '0', '0'], ['x', '24', '1', '3'], ['x', '26', '2', '4'], ['x', '7', '3', '0'], ['x', '19', '4', '3'], ['x', '23', '5', '4'], ['x', '11', '6', '1'], ['x', '12', '7', '3'], ['x', '18', '8', '5'], ['x', '14', '9', '0'], 10, ['x', '27', '11', '5'], ['x', '0', '12', '0'], ['x', '8', '13', '3'], ['x', '13', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
36,2371.6518325322313,"[['x', '2', '0', '0'], ['x', '6', '1', '3'], ['x', '8', '2', '4'], ['x', '26', '3', '0'], 4, ['x', '5', '5', '4'], ['x', '10', '6', '1'], ['x', '24', '7', '2'], ['x', '28', '8', '4'], ['x', '0', '9', '0'], ['x', '9', '10', '3'], ['x', '13', '11', '4'], ['x', '7', '12', '0'], ['x', '16', '13', '3'], ['x', '21', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23]"
37,2254.992361216222,"[['x', '4', '0', '0'], ['x', '9', '1', '3'], ['x', '17', '2', '4'], ['x', '7', '3', '0'], ['x', '11', '4', '3'], ['x', '29', '5', '4'], ['x', '4', '6', '1'], ['x', '5', '7', '3'], ['x', '9', '8', '4'], ['x', '16', '9', '0'], ['x', '25', '10', '3'], ['x', '29', '11', '5'], ['x', '26', '12', '1'], 13, ['x', '1', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
38,2378.1960596118597,"[['x', '0', '0', '0'], ['x', '2', '1', '3'], ['x', '3', '2', '4'], ['x', '5', '3', '0'], ['x', '16', '4', '3'], ['x', '27', '5', '5'], ['x', '18', '6', '0'], ['x', '21', '7', '3'], ['x', '23', '8', '5'], ['x', '22', '9', '0'], ['x', '24', '10', '2'], ['x', '28', '11', '5'], ['x', '28', '12', '1'], 13, ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
39,1877.0591418331442,"[['x', '0', '0', '0'], ['x', '6', '1', '3'], ['x', '7', '2', '4'], ['x', '16', '3', '0'], ['x', '20', '4', '3'], ['x', '29', '5', '4'], ['x', '8', '6', '0'], ['x', '11', '7', '3'], ['x', '13', '8', '4'], ['x', '4', '9', '0'], 10, ['x', '4', '11', '4'], ['x', '11', '12', '0'], ['x', '15', '13', '2'], ['x', '20', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
40,1229.5003138388656,"[['x', '22', '0', '1'], ['x', '23', '1', '3'], ['x', '28', '2', '4'], ['x', '12', '3', '1'], ['x', '14', '4', '3'], ['x', '23', '5', '5'], ['x', '0', '6', '0'], ['x', '2', '7', '2'], ['x', '9', '8', '4'], ['x', '5', '9', '1'], ['x', '6', '10', '3'], ['x', '9', '11', '5'], ['x', '25', '12', '1'], 13, ['x', '4', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
41,1848.8017265037743,"[['x', '6', '0', '0'], ['x', '9', '1', '3'], ['x', '11', '2', '4'], ['x', '9', '3', '0'], ['x', '16', '4', '3'], ['x', '20', '5', '4'], ['x', '3', '6', '0'], ['x', '12', '7', '3'], ['x', '29', '8', '4'], ['x', '28', '9', '1'], 10, ['x', '29', '11', '5'], ['x', '13', '12', '0'], ['x', '18', '13', '2'], ['x', '24', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
42,1197.274578076227,"[['x', '8', '0', '1'], ['x', '13', '1', '3'], ['x', '21', '2', '5'], ['x', '16', '3', '0'], ['x', '21', '4', '3'], ['x', '28', '5', '4'], ['x', '11', '6', '0'], ['x', '15', '7', '2'], ['x', '28', '8', '5'], ['x', '0', '9', '1'], ['x', '1', '10', '2'], ['x', '11', '11', '5'], ['x', '7', '12', '0'], ['x', '14', '13', '3'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19]"
43,2337.991938243016,"[['x', '5', '0', '0'], ['x', '23', '1', '3'], ['x', '25', '2', '5'], ['x', '9', '3', '0'], ['x', '15', '4', '3'], ['x', '19', '5', '4'], ['x', '3', '6', '0'], 7, ['x', '1', '8', '5'], ['x', '20', '9', '0'], ['x', '21', '10', '3'], ['x', '27', '11', '4'], ['x', '13', '12', '0'], ['x', '7', '13', '3'], ['x', '17', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23]"
44,841.0981730484909,"[['x', '5', '0', '0'], ['x', '10', '1', '3'], ['x', '17', '2', '5'], ['x', '9', '3', '0'], ['x', '13', '4', '2'], ['x', '27', '5', '5'], ['x', '3', '6', '1'], ['x', '7', '7', '2'], ['x', '21', '8', '4'], ['x', '0', '9', '0'], ['x', '24', '10', '3'], ['x', '29', '11', '4'], ['x', '4', '12', '1'], ['x', '6', '13', '3'], ['x', '13', '14', '4'], 15, 16, 17, 18, 19, 20]"
45,1705.4247975316448,"[['x', '14', '0', '1'], ['x', '21', '1', '3'], ['x', '27', '2', '5'], ['x', '6', '3', '1'], ['x', '10', '4', '2'], ['x', '29', '5', '4'], ['x', '16', '6', '0'], ['x', '17', '7', '3'], ['x', '23', '8', '5'], ['x', '2', '9', '0'], ['x', '25', '10', '3'], ['x', '26', '11', '5'], ['x', '21', '12', '0'], ['x', '2', '13', '3'], ['x', '18', '14', '5'], 15, 16, 17, 18, 19, 20]"
46,1999.1891865037505,"[['x', '17', '0', '0'], ['x', '23', '1', '2'], ['x', '28', '2', '5'], ['x', '0', '3', '0'], ['x', '5', '4', '3'], ['x', '9', '5', '4'], ['x', '10', '6', '0'], ['x', '25', '7', '2'], ['x', '29', '8', '4'], ['x', '2', '9', '1'], ['x', '10', '10', '2'], ['x', '16', '11', '4'], ['x', '5', '12', '1'], ['x', '17', '13', '3'], ['x', '23', '14', '4'], 15, 16, 17, 18, 19]"
47,2736.2328838037065,"[['x', '28', '0', '1'], 1, ['x', '29', '2', '4'], ['x', '5', '3', '0'], ['x', '16', '4', '3'], ['x', '20', '5', '4'], ['x', '10', '6', '0'], ['x', '13', '7', '3'], ['x', '19', '8', '5'], ['x', '2', '9', '0'], ['x', '5', '10', '3'], ['x', '6', '11', '4'], ['x', '5', '12', '1'], ['x', '7', '13', '3'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
48,1790.8149398721016,"[['x', '12', '0', '0'], ['x', '16', '1', '3'], ['x', '28', '2', '4'], ['x', '28', '3', '1'], 4, ['x', '27', '5', '5'], ['x', '2', '6', '0'], ['x', '4', '7', '2'], ['x', '7', '8', '5'], ['x', '9', '9', '0'], ['x', '10', '10', '3'], ['x', '15', '11', '4'], ['x', '4', '12', '1'], ['x', '6', '13', '2'], ['x', '8', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
49,2365.815744101914,"[['x', '8', '0', '0'], ['x', '13', '1', '3'], ['x', '18', '2', '5'], ['x', '14', '3', '0'], ['x', '20', '4', '3'], ['x', '29', '5', '4'], ['x', '5', '6', '0'], ['x', '7', '7', '3'], ['x', '15', '8', '4'], ['x', '4', '9', '0'], ['x', '9', '10', '3'], ['x', '10', '11', '5'], ['x', '28', '12', '0'], 13, ['x', '0', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
