trial,energy,sort_ans
0,2438.2607035629408,"[['x', '4', '0', '0'], ['x', '24', '1', '3'], ['x', '27', '2', '5'], ['x', '12', '3', '1'], ['x', '15', '4', '3'], ['x', '20', '5', '5'], ['x', '12', '6', '0'], ['x', '19', '7', '3'], ['x', '21', '8', '4'], ['x', '10', '9', '0'], ['x', '12', '10', '3'], ['x', '29', '11', '5'], ['x', '28', '12', '0'], 13, ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
1,1277.6180597656603,"[['x', '17', '0', '0'], ['x', '4', '1', '3'], ['x', '29', '2', '5'], ['x', '1', '3', '0'], ['x', '9', '4', '2'], ['x', '29', '5', '4'], ['x', '2', '6', '1'], ['x', '5', '7', '3'], ['x', '23', '8', '5'], ['x', '6', '9', '1'], ['x', '10', '10', '3'], ['x', '23', '11', '4'], ['x', '11', '12', '0'], ['x', '15', '13', '3'], ['x', '25', '14', '4'], 15, 16, 17, 18, 19, 20]"
2,2425.7085477538894,"[['x', '0', '0', '0'], ['x', '5', '1', '3'], ['x', '10', '2', '4'], ['x', '29', '3', '1'], 4, ['x', '5', '5', '4'], ['x', '7', '6', '0'], ['x', '17', '7', '3'], ['x', '20', '8', '5'], ['x', '10', '9', '0'], ['x', '11', '10', '3'], ['x', '27', '11', '5'], ['x', '16', '12', '0'], ['x', '21', '13', '3'], ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
3,2060.1114106219593,"[['x', '8', '0', '0'], ['x', '12', '1', '3'], ['x', '27', '2', '5'], ['x', '0', '3', '0'], ['x', '4', '4', '3'], ['x', '13', '5', '4'], ['x', '4', '6', '0'], ['x', '16', '7', '3'], ['x', '18', '8', '4'], ['x', '18', '9', '0'], ['x', '25', '10', '3'], ['x', '27', '11', '4'], ['x', '13', '12', '0'], 13, ['x', '0', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]"
4,1431.504669901351,"[['x', '8', '0', '1'], ['x', '11', '1', '3'], ['x', '17', '2', '4'], ['x', '9', '3', '0'], ['x', '14', '4', '3'], ['x', '29', '5', '4'], ['x', '2', '6', '0'], ['x', '4', '7', '3'], ['x', '10', '8', '4'], ['x', '6', '9', '0'], ['x', '7', '10', '3'], ['x', '27', '11', '5'], ['x', '16', '12', '0'], ['x', '20', '13', '2'], ['x', '22', '14', '4'], 15, 16, 17, 18]"
5,2175.7419305911408,"[['x', '1', '0', '1'], ['x', '6', '1', '3'], ['x', '17', '2', '4'], ['x', '28', '3', '0'], 4, ['x', '5', '5', '4'], ['x', '0', '6', '0'], ['x', '2', '7', '3'], ['x', '9', '8', '4'], ['x', '14', '9', '0'], ['x', '15', '10', '3'], ['x', '29', '11', '4'], ['x', '4', '12', '0'], ['x', '19', '13', '3'], ['x', '24', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
6,1360.3774909203967,"[['x', '2', '0', '0'], ['x', '9', '1', '3'], ['x', '16', '2', '4'], ['x', '15', '3', '1'], ['x', '18', '4', '3'], ['x', '26', '5', '5'], ['x', '14', '6', '0'], ['x', '6', '7', '3'], ['x', '10', '8', '5'], ['x', '12', '9', '0'], ['x', '24', '10', '2'], ['x', '29', '11', '5'], ['x', '6', '12', '0'], ['x', '11', '13', '3'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20]"
7,1798.4122469625145,"[['x', '3', '0', '0'], ['x', '6', '1', '3'], ['x', '14', '2', '4'], ['x', '29', '3', '1'], 4, ['x', '2', '5', '4'], ['x', '1', '6', '0'], ['x', '4', '7', '3'], ['x', '6', '8', '4'], ['x', '14', '9', '1'], ['x', '25', '10', '3'], ['x', '26', '11', '4'], ['x', '11', '12', '1'], ['x', '14', '13', '3'], ['x', '28', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]"
8,1718.6049931901234,"[['x', '14', '0', '0'], ['x', '18', '1', '3'], ['x', '22', '2', '4'], ['x', '9', '3', '1'], ['x', '14', '4', '3'], ['x', '29', '5', '4'], ['x', '2', '6', '1'], ['x', '3', '7', '3'], ['x', '10', '8', '5'], ['x', '9', '9', '0'], ['x', '10', '10', '3'], ['x', '27', '11', '4'], ['x', '3', '12', '1'], ['x', '6', '13', '3'], ['x', '27', '14', '5'], 15, 16, 17, 18]"
9,1637.7824429332468,"[['x', '28', '0', '1'], 1, ['x', '9', '2', '4'], ['x', '7', '3', '0'], ['x', '17', '4', '3'], ['x', '25', '5', '5'], ['x', '2', '6', '0'], ['x', '8', '7', '3'], ['x', '10', '8', '5'], ['x', '17', '9', '0'], ['x', '21', '10', '3'], ['x', '29', '11', '5'], ['x', '7', '12', '1'], ['x', '12', '13', '3'], ['x', '28', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
10,1436.1119998357644,"[['x', '2', '0', '0'], ['x', '4', '1', '3'], ['x', '7', '2', '4'], ['x', '16', '3', '0'], ['x', '20', '4', '3'], ['x', '29', '5', '4'], ['x', '8', '6', '1'], ['x', '11', '7', '3'], ['x', '16', '8', '4'], ['x', '10', '9', '0'], ['x', '25', '10', '3'], ['x', '26', '11', '5'], ['x', '1', '12', '1'], ['x', '4', '13', '2'], ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20]"
11,2431.168188218795,"[['x', '4', '0', '0'], ['x', '7', '1', '3'], ['x', '3', '2', '4'], ['x', '8', '3', '0'], ['x', '12', '4', '3'], ['x', '22', '5', '4'], ['x', '13', '6', '0'], ['x', '16', '7', '3'], ['x', '29', '8', '4'], ['x', '7', '9', '0'], ['x', '11', '10', '3'], ['x', '17', '11', '4'], ['x', '19', '12', '0'], 13, ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
12,330.13028409548133,"[['x', '5', '0', '0'], ['x', '8', '1', '3'], ['x', '29', '2', '5'], ['x', '3', '3', '1'], ['x', '17', '4', '3'], ['x', '22', '5', '4'], ['x', '10', '6', '1'], ['x', '13', '7', '3'], ['x', '20', '8', '5'], ['x', '14', '9', '0'], ['x', '21', '10', '3'], ['x', '27', '11', '4'], ['x', '1', '12', '0'], ['x', '9', '13', '3'], ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21]"
13,1291.5891855247519,"[['x', '10', '0', '1'], ['x', '11', '1', '3'], ['x', '15', '2', '5'], ['x', '1', '3', '1'], ['x', '6', '4', '2'], ['x', '27', '5', '5'], ['x', '4', '6', '1'], ['x', '21', '7', '3'], ['x', '10', '8', '5'], ['x', '19', '9', '0'], ['x', '25', '10', '3'], ['x', '27', '11', '4'], ['x', '0', '12', '0'], ['x', '5', '13', '3'], ['x', '22', '14', '5'], 15, 16, 17, 18, 19, 20]"
14,2344.3394773368973,"[['x', '26', '0', '1'], 1, ['x', '3', '2', '5'], ['x', '9', '3', '0'], ['x', '15', '4', '3'], ['x', '21', '5', '4'], ['x', '6', '6', '0'], ['x', '11', '7', '3'], ['x', '13', '8', '4'], ['x', '5', '9', '0'], ['x', '7', '10', '3'], ['x', '27', '11', '5'], ['x', '16', '12', '0'], ['x', '20', '13', '3'], ['x', '28', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
15,2689.9180178676643,"[['x', '3', '0', '0'], ['x', '10', '1', '3'], ['x', '11', '2', '4'], ['x', '11', '3', '0'], ['x', '18', '4', '3'], ['x', '24', '5', '4'], ['x', '8', '6', '0'], ['x', '11', '7', '3'], ['x', '17', '8', '4'], ['x', '23', '9', '1'], 10, ['x', '27', '11', '5'], ['x', '19', '12', '0'], ['x', '23', '13', '3'], ['x', '7', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
16,1018.0932337397098,"[['x', '7', '0', '0'], ['x', '13', '1', '2'], ['x', '22', '2', '5'], ['x', '0', '3', '1'], ['x', '5', '4', '2'], ['x', '9', '5', '5'], ['x', '2', '6', '1'], ['x', '15', '7', '3'], ['x', '17', '8', '5'], ['x', '17', '9', '1'], ['x', '18', '10', '3'], ['x', '29', '11', '5'], ['x', '3', '12', '1'], ['x', '5', '13', '3'], ['x', '9', '14', '4'], 15, 16, 17]"
17,2136.5712313743297,"[['x', '17', '0', '1'], ['x', '23', '1', '3'], ['x', '25', '2', '5'], ['x', '20', '3', '1'], ['x', '1', '4', '3'], ['x', '5', '5', '4'], ['x', '11', '6', '1'], ['x', '12', '7', '3'], ['x', '18', '8', '4'], ['x', '13', '9', '0'], ['x', '15', '10', '3'], ['x', '27', '11', '5'], ['x', '12', '12', '1'], ['x', '16', '13', '3'], ['x', '25', '14', '4'], 15, 16, 17, 18, 19]"
18,2135.8637619493456,"[['x', '2', '0', '1'], ['x', '4', '1', '3'], ['x', '7', '2', '4'], ['x', '29', '3', '0'], 4, ['x', '27', '5', '5'], ['x', '4', '6', '1'], ['x', '9', '7', '3'], ['x', '29', '8', '4'], ['x', '0', '9', '0'], ['x', '2', '10', '3'], ['x', '12', '11', '4'], ['x', '11', '12', '0'], ['x', '24', '13', '2'], ['x', '26', '14', '4'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
