trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,D,E
0,900,822.9134064065765,False,1.1368683772161603e-12,0.0,0.0,681.6348320012961,141.27857440528084,734.886963685439,212.79906029288622,237.5676909814598,2.543413552243642,2.354642906754681
1,900,1373.1663719309945,False,-9.094947017729282e-13,0.0,0.0,1275.7378914922979,97.42848043869446,668.9518282288489,216.08672424869494,233.771883918875,4.295413776068345,2.6332021740187694
2,900,1907.7283480747355,False,-2.2737367544323206e-13,0.0,510.8493765297097,1278.1423013882925,118.73667015673647,678.287281544127,208.9533072055921,255.42468826485484,4.897096940185028,3.2982408376871244
3,900,1322.8601355538704,False,6.821210263296962e-13,0.0,233.94538455395048,959.1556907466802,129.7590602532416,660.923995005278,209.5930020076336,233.94538455395048,3.776203506876693,4.1857761372013425
4,900,667.3806185987887,False,1.1368683772161603e-12,0.0,0.0,540.456675425594,126.92394317319379,739.8094220533993,190.1812232574835,269.92257116386935,1.6037290071976082,3.0219986469808044
5,900,1717.2460320908867,False,676.3524327685427,0.0,0.0,916.8152955456919,124.07830377665057,676.3524327685442,188.55066692780997,260.2478767593751,4.494192625223979,2.432907917189227
6,900,1663.1051981296368,False,667.5219545771217,183.42345687076974,0.0,722.5707308735957,89.58905580814728,667.5219545771231,183.42345687076974,255.09431270764583,4.301016255199974,1.6590565890397646
7,900,1555.7196249508925,False,2.0463630789890885e-12,181.9988379074096,264.74270317600144,1029.191028755416,79.78705511206373,692.9003255895353,181.9988379074096,264.74270317600144,3.548934581915227,2.045821925950352
8,900,1508.7738456687184,False,2.5011104298755527e-12,182.11111638358759,247.1670604824522,942.4405189537866,137.05514984888953,699.6855609021117,182.11111638358759,247.1670604824522,4.403927658662555,3.0456699966419896
9,900,1444.2004126566517,False,-1.1368683772161603e-12,0.0,0.0,1215.1349106237321,229.06550203291894,730.6540535156958,209.4517060259559,260.41231175881205,3.727407701299792,4.2419537413503505
10,900,772.0042505831098,False,2.0463630789890885e-12,0.0,238.08059986742995,434.11735972612865,99.80629098954932,717.4913348550419,212.81222476288787,238.08059986742995,1.4969564128487196,2.321076534640682
11,900,1564.0060170750348,False,710.4733984816877,0.0,0.0,738.555765062999,114.97685353035054,710.4733984816852,199.5326078767003,269.4039448620163,3.0773156877624954,3.832561784345018
12,900,1712.0433662668147,False,0.0,0.0,503.0370531664117,1120.712369497122,88.2939436032822,701.0732834420232,199.61413635600752,251.51852658320584,4.120266064327654,4.013361072876464
13,900,1680.6135384445406,False,680.4514856070143,0.0,0.0,861.4046418738554,138.75741096366787,680.4514856070152,213.11232785991888,266.5743304625546,4.222571773891449,4.625247032122262
14,900,1286.515348561974,True,0.0,0.0,0.0,1110.1206506630563,176.39469789891646,706.6054552672995,187.75406486885072,238.28876766526332,3.405278069518577,3.75307867870035
15,900,1204.2884530343945,False,2.0463630789890885e-12,0.0,266.5054222350293,700.7482971050547,237.034733694307,747.4633845814595,186.9262466640326,266.5054222350293,2.3280674322427064,3.8231408660372095
16,900,1823.190990050969,False,710.4279970140055,0.0,0.0,950.2350059352834,162.5279871016818,710.4279970140037,201.19606059188146,244.81581457062026,4.658014734976879,3.458042278759187
17,900,868.334707880922,False,1.8189894035458565e-12,0.0,0.0,808.4652389364475,59.869468944475045,730.1515370034926,206.74695959501344,255.67620853544233,2.897724870739956,1.496736723611876
18,900,828.5252916029076,False,-2.7284841053187847e-12,0.0,265.4596348603488,473.67151840332184,89.39413833923781,670.8418677184541,200.2224498031724,265.4596348603488,1.5037191060422916,1.596323898914961
19,900,1164.6767098180062,False,-1.3642420526593924e-12,0.0,259.4089375653637,832.4084314691695,72.85934078347249,694.4645664248653,202.8115674851125,259.4089375653637,2.870373901617826,1.821483519586812
