trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,D,E
0,900,2438.2607035629408,False,699.0,0.0,0.0,1580.107803770511,159.1528997924302,Placeholder('A'),Placeholder('B'),Placeholder('C'),7.745626489071134,4.680967640953829
1,900,1277.6180597656603,False,0.0,0.0,241.0,890.064573715615,146.55348605004642,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.662817175784423,2.25466901615456
2,900,2425.7085477538894,False,699.0,0.0,0.0,1513.8821746156702,212.8263731382196,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.011203420331373,7.338840453042055
3,900,2060.1114106219593,False,699.0,0.0,0.0,1131.7071391233824,229.40427149857558,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.736352018591562,6.747184455840459
4,900,1431.504669901351,False,0.0,0.0,241.0,1065.6161323280203,124.88853757333183,Placeholder('A'),Placeholder('B'),Placeholder('C'),4.736071699235646,3.3753658803603197
5,900,2175.7419305911408,False,699.0,0.0,0.0,1097.1062047839716,379.6357258071719,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.53039407609507,8.628084677435725
6,900,1360.3774909203967,False,0.0,192.0,241.0,684.1967396185032,243.18075130189422,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.8156244428744985,5.931237836631566
7,900,1798.4122469625145,False,699.0,0.0,0.0,934.8331004236115,164.57914653890316,Placeholder('A'),Placeholder('B'),Placeholder('C'),5.025984410879633,5.8778266621036845
8,900,1718.6049931901234,True,0.0,0.0,0.0,1657.3180894588902,61.2869037312348,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.629272357835561,2.04289679104116
9,900,1637.7824429332468,False,699.0,0.0,0.0,796.8672454348138,141.91519749843238,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.589492096553215,4.173976397012717
10,900,1436.1119998357644,True,0.0,0.0,0.0,1124.1979222758723,311.9140775598919,Placeholder('A'),Placeholder('B'),Placeholder('C'),4.626328898254619,8.66427993221922
11,900,2431.168188218795,False,699.0,0.0,241.0,1254.9711581438646,236.19703007492868,Placeholder('A'),Placeholder('B'),Placeholder('C'),7.470066417523003,8.43560821696174
12,900,330.13028409548133,True,0.0,0.0,0.0,268.55797966286906,61.57230443261072,Placeholder('A'),Placeholder('B'),Placeholder('C'),1.0742319186514764,1.1617415930681267
13,900,1291.5891855247519,False,0.0,0.0,241.0,760.0683006393684,290.5208848853812,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.099636189611515,4.924082794667477
14,900,2344.3394773368973,False,699.0,0.0,0.0,1400.3838535174682,244.95562381942807,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.335618175699217,9.798224952777122
15,900,2689.9180178676643,False,699.0,0.0,241.0,1599.285377277508,150.63264059015694,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.519555817128023,5.578986688524331
16,900,1018.0932337397098,True,0.0,0.0,0.0,890.4685979982308,127.62463574147773,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.588571505808811,4.254154524715925
17,900,2136.5712313743297,False,0.0,0.0,482.0,1501.335226789012,153.2360045853191,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.005340907156047,6.384833524388296
18,900,2135.8637619493456,False,699.0,192.0,0.0,1122.4071857366127,122.45657621273088,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.03444723514308,3.7108053397797236
19,900,1445.347373460345,False,699.0,0.0,0.0,461.93801294386515,284.4093605164797,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.264402024234633,6.771651440868564
20,900,1737.5786983764337,False,699.0,0.0,0.0,956.2729009149499,82.30579746148652,Placeholder('A'),Placeholder('B'),Placeholder('C'),4.447780934488138,1.4697463832408308
21,900,2049.8830919976917,False,0.0,0.0,241.0,1691.1018463085957,117.78124568909621,Placeholder('A'),Placeholder('B'),Placeholder('C'),7.516008205815982,2.8727133094901514
22,900,1032.5901443668408,True,0.0,0.0,0.0,960.6747921990486,71.91535216779172,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.312671697238098,1.4982365034956606
23,900,1900.8249615843033,False,0.0,0.0,241.0,1493.3456582053104,166.47930337899265,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.389582349468036,4.268700086640837
24,900,1889.6912766403584,False,699.0,0.0,0.0,1102.0805308192655,88.61074582109129,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.560003159638486,1.7722149164218255
25,900,2549.554994512886,False,699.0,0.0,0.0,1668.8749935852184,181.68000092766817,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.933779723721537,6.264827618195454
26,900,1328.66457814352,True,0.0,0.0,0.0,939.3774427926965,389.2871353508242,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.049926762313949,4.990860709625952
27,900,1795.8105065246928,False,0.0,0.0,241.0,1143.9892078016042,410.82129872308826,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.8518155144835156,6.626149979404649
28,900,1499.652036365911,False,0.0,0.0,241.0,903.4167736598065,355.2352627061058,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.115230253999332,6.831447359732804
29,900,2476.855008101844,False,699.0,0.0,0.0,1678.3245688515601,99.53043925028395,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.990027195545,4.524110875012907
30,900,2609.941456326008,False,699.0,0.0,0.0,1647.9403921971357,263.0010641288712,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.809169001173425,7.735325415555035
31,900,2302.2554228472154,False,0.0,192.0,0.0,1844.38820599796,265.8672168492571,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.61863647662598,5.656749294665046
32,900,2557.3489852932407,False,699.0,0.0,0.0,1534.5186893658458,323.8302959273942,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.134039817653845,8.752170160199842
33,900,2314.5752762606817,True,0.0,0.0,0.0,2158.2406633011565,156.33461295952583,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.302761479746366,3.81303934047624
34,900,1618.2849236270376,False,0.0,0.0,241.0,1306.7171128949974,70.56781073203962,Placeholder('A'),Placeholder('B'),Placeholder('C'),5.632401348685333,1.383682563373326
35,900,2304.532248274707,True,0.0,0.0,0.0,2191.4935451397755,113.03870313493294,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.44609286698179,2.898428285511101
36,900,2256.9755802077143,False,699.0,0.0,0.0,1347.5785162771751,210.39706393053888,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.605777040574387,4.781751452966792
37,900,1594.8518796352564,True,0.0,0.0,0.0,1472.5689972176015,122.28288241765223,Placeholder('A'),Placeholder('B'),Placeholder('C'),5.49466043737911,2.6017634556947282
38,900,2514.4797405911013,False,699.0,0.0,0.0,1624.8182934792562,190.66144711184478,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.671537461186052,5.017406502943284
39,900,2460.1621688291843,False,699.0,0.0,0.0,1443.6612830262463,317.5008858029406,Placeholder('A'),Placeholder('B'),Placeholder('C'),7.761619801216378,9.921902681341896
40,900,2582.536880294034,False,699.0,0.0,0.0,1665.22343963614,218.313440657892,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.95281419159215,8.396670794534307
41,900,2357.056744204,False,699.0,0.0,0.0,1521.0166157143485,137.04012848964965,Placeholder('A'),Placeholder('B'),Placeholder('C'),7.455963802521315,5.270774172678832
42,900,2453.883932878083,False,699.0,0.0,0.0,1560.1027979397536,194.781134938332,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.387649451288997,8.468744997318783
43,900,1796.342294151982,False,699.0,0.0,0.0,881.8757912975727,215.46650285441018,Placeholder('A'),Placeholder('B'),Placeholder('C'),5.249260662485552,7.182216761813674
44,900,1839.3107722909099,False,699.0,0.0,0.0,887.9436189223077,252.36715336860243,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.999746031181566,8.140875915116208
45,900,2435.8822577298906,False,699.0,0.0,0.0,1523.7839869984905,213.09827073139925,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.070142779752919,6.8741377655290075
46,900,2580.8916455937197,False,699.0,0.0,241.0,1361.9283724803333,278.96327311338786,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.106716502859125,7.970379231811082
47,900,2563.2216079677964,False,699.0,0.0,241.0,1342.2942398392058,280.9273681285904,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.948628265594706,8.77898025401845
48,900,1541.6942265296875,False,699.0,0.0,0.0,549.0739729120489,293.6202536176381,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.2878082204668706,9.787341787254604
49,900,1074.8362288918597,True,0.0,0.0,0.0,904.042827159181,170.79340173268034,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.7731375066232546,3.3488902300525556
50,900,2544.465105605512,False,699.0,192.0,0.0,1447.930928073165,205.5341775323467,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.61863647662598,9.787341787254604
51,900,1438.270105644362,False,699.0,0.0,0.0,603.137160853453,136.1329447909096,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.588571505808811,4.254154524715925
52,900,2300.8520141660047,False,0.0,0.0,241.0,1933.8634167622179,125.98859740378599,Placeholder('A'),Placeholder('B'),Placeholder('C'),8.335618175699217,1.9998190064093015
53,900,1610.7839285533664,True,0.0,0.0,0.0,1347.6437347755907,263.1401937777779,Placeholder('A'),Placeholder('B'),Placeholder('C'),4.954572554322025,6.747184455840459
54,900,1293.721481519744,True,0.0,0.0,0.0,995.5563648777484,298.1651166419976,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.7731375066232546,6.4818503617825565
55,900,2434.8392212329554,False,699.0,0.0,0.0,1678.32456885156,57.51465238139651,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.990027195545,1.1737684159468675
56,900,2271.1984521323557,False,699.0,0.0,0.0,1220.1605876927583,352.03786443959643,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.560003159638486,9.778829567766566
57,900,1528.9715856166586,False,0.0,0.0,241.0,1231.9217776039222,56.04980801273566,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.999746031181566,1.1438736329129728
58,900,1135.2460828226613,True,0.0,0.0,0.0,919.779579968252,215.46650285441024,Placeholder('A'),Placeholder('B'),Placeholder('C'),3.296701003470438,7.182216761813674
59,900,1409.7884388985276,True,0.0,0.0,0.0,1083.57035788379,326.21808101473613,Placeholder('A'),Placeholder('B'),Placeholder('C'),5.06341288730743,5.931237836631566
60,900,1807.6804358808677,True,0.0,0.0,0.0,1613.6141747645381,194.066261116329,Placeholder('A'),Placeholder('B'),Placeholder('C'),6.0209484133005144,3.0322853299426407
61,900,1243.4511779220047,False,0.0,0.0,241.0,504.57184912189746,497.8793288001071,Placeholder('A'),Placeholder('B'),Placeholder('C'),1.63822028935681,9.39394960000202
62,900,1912.8445292466822,False,0.0,0.0,241.0,1320.9909375429768,350.85359170370384,Placeholder('A'),Placeholder('B'),Placeholder('C'),4.447780934488138,6.747184455840459
63,900,1888.8799663583486,False,699.0,0.0,0.0,1025.300819819445,164.57914653890316,Placeholder('A'),Placeholder('B'),Placeholder('C'),5.025984410879633,5.8778266621036845
64,900,1126.6931569234057,False,699.0,0.0,0.0,261.16208251450246,166.5310744089037,Placeholder('A'),Placeholder('B'),Placeholder('C'),1.0404863845199301,9.251726356050206
65,900,788.3561732221697,True,0.0,0.0,0.0,609.6816831841006,178.67449003806883,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.1852390078283173,4.254154524715925
66,900,1286.2618135298962,False,0.0,0.0,241.0,735.6428011367082,309.6190123931859,Placeholder('A'),Placeholder('B'),Placeholder('C'),2.0722332426386147,5.733685414688627
67,900,2538.3340768806193,False,699.0,0.0,0.0,1668.8749935852186,170.45908329540083,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.933779723721537,4.485765349878969
68,900,2634.2400004090114,False,699.0,0.0,0.0,1698.931406083615,236.30859432539575,Placeholder('A'),Placeholder('B'),Placeholder('C'),9.134039817653845,8.752170160199842
