iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
200,510,28,817.0,70.0,0
200,519,26,877.0,56.0,0
200,510,27,822.0,85.0,0
200,498,27,861.0,75.0,0
200,511,27,858.0,63.0,0
200,515,26,859.0,54.0,0
200,521,29,826.0,55.0,0
200,513,27,878.0,51.0,0
200,529,26,885.0,61.0,0
200,507,28,809.0,105.0,0
200,522,28,894.0,51.0,0
200,498,28,817.0,102.0,0
200,508,25,801.0,58.0,0
200,505,26,802.0,111.0,0
200,490,28,839.0,86.0,0
200,515,27,800.0,134.0,0
200,502,26,892.0,40.0,0
200,520,28,837.0,62.0,0
200,503,28,837.0,99.0,0
200,515,25,802.0,14.0,0
100,545,27,1000.0,103.0,0
100,503,27,817.0,82.0,0
100,509,28,837.0,77.0,0
100,508,28,904.0,56.0,0
100,529,27,935.0,45.0,0
100,521,27,820.0,68.0,0
100,504,28,841.0,98.0,0
100,494,29,727.0,116.0,{}
100,514,28,875.0,46.0,0
100,520,28,890.0,88.0,0
100,531,28,913.0,83.0,0
100,529,28,966.0,83.0,0
100,526,29,938.0,74.0,0
100,515,27,802.0,81.0,0
100,524,28,875.0,53.0,0
100,519,26,915.0,46.0,0
100,484,28,802.0,95.0,0
100,525,27,929.0,27.0,0
100,501,28,884.0,106.0,0
100,528,28,873.0,116.0,0
100,480,23,5940.0,110.0,{}
100,488,27,5500.0,300.0,{}
100,481,24,5520.0,340.0,{}
100,483,24,5560.0,160.0,{}
100,484,26,5890.0,360.0,0
100,479,27,5600.0,270.0,{}
100,487,27,5780.0,260.0,{}
100,485,24,5580.0,290.0,{}
100,488,25,5500.0,270.0,{}
100,485,26,6120.0,240.0,0
