iteration,machine_cost,processing_time,resource_cost,wating_time,feasible,patt
100,483.77777777777777,22.666666666666668,5787.777777777777,30.555555555555557,0.0,1
200,482.53333333333336,23.533333333333335,5618.0,90.0,0.0,1
100,487.7,23.45,9918.0,76.5,0.0,2
200,489.6,23.4,9882.0,49.5,0.0,2
100,518.4444444444445,27.166666666666668,886.6666666666666,65.33333333333333,0.0,3
200,515.05,27.6,850.3,69.3,0.0,3
100,519.5,27.6,88.72,8.930000000000001,0.0,4
200,510.35,27.55,86.515,6.955000000000001,0.0,4
100,521.2,27.65,8.789499999999999,8.859999999997e-05,0.0,5
200,513.35,27.55,8.566499999999998,9.3999999999985e-05,0.0,5
100,527.95,27.5,0.009710999999999945,0.5875,0.0,6
200,526.5,27.0,0.00964949999999996,0.5455,0.0,6
100,514.6842105263158,27.842105263157894,0.00875315789473679,0.0008694736842105263,0.0,7
200,517.25,27.6,0.00866699999999997,0.000688999999999995,0.0,7
