iteration,resource_cost,wating_time,feasible
100,920.0,77.0,0
100,890.0,107.0,0
100,917.0,105.0,0
100,858.0,63.0,0
100,917.0,147.0,{}
100,732.0,65.0,0
100,822.0,120.0,0
100,851.0,37.0,0
100,874.0,92.0,0
100,855.0,58.0,0
100,852.0,58.0,0
100,918.0,101.0,0
100,836.0,68.0,0
100,938.0,84.0,0
100,920.0,127.0,0
100,812.0,66.0,0
100,889.0,98.0,0
100,966.0,63.0,0
100,887.0,86.0,0
100,842.0,104.0,0
200,899.0,70.0,0
200,928.0,91.0,0
200,915.0,48.0,0
200,917.0,79.0,0
200,839.0,114.0,0
200,922.0,57.0,0
200,825.0,106.0,0
200,849.0,89.0,0
200,806.0,108.0,0
200,830.0,80.0,0
200,905.0,77.0,0
200,808.0,73.0,0
200,800.0,73.0,0
200,852.0,104.0,0
200,907.0,90.0,0
200,934.0,28.0,0
200,869.0,54.0,0
200,866.0,88.0,0
200,891.0,85.0,0
200,813.0,96.0,0
