trial,energy,sort_ans
0,897.8359339088529,"[['x', '14', '0'], ['x', '16', '1'], ['x', '17', '2'], ['x', '6', '3'], ['x', '10', '4'], ['x', '14', '5'], ['x', '1', '6'], ['x', '4', '7'], ['x', '9', '8'], ['x', '17', '9'], ['x', '18', '10'], ['x', '2', '11'], ['x', '21', '12'], ['x', '24', '13'], ['x', '7', '14']]"
1,596.7127077799578,"[['x', '19', '0'], ['x', '16', '1'], ['x', '17', '2'], ['x', '13', '3'], ['x', '19', '4'], ['x', '23', '5'], ['x', '7', '6'], ['x', '9', '7'], ['x', '19', '8'], ['x', '0', '9'], ['x', '9', '10'], ['x', '10', '11'], ['x', '5', '12'], ['x', '11', '13'], ['x', '28', '14']]"
2,941.0963549647549,"[['x', '12', '0'], ['x', '16', '1'], ['x', '9', '2'], ['x', '2', '3'], ['x', '10', '4'], ['x', '19', '5'], ['x', '22', '6'], ['x', '24', '7'], ['x', '28', '8'], ['x', '25', '9'], ['x', '28', '10'], ['x', '23', '11'], ['x', '3', '12'], ['x', '6', '13'], ['x', '11', '14']]"
3,987.0938443374598,"[['x', '19', '0'], ['x', '22', '1'], ['x', '26', '2'], ['x', '0', '3'], ['x', '5', '4'], ['x', '9', '5'], ['x', '8', '6'], ['x', '10', '7'], ['x', '12', '8'], ['x', '15', '9'], ['x', '16', '10'], ['x', '19', '11'], ['x', '11', '12'], 13, ['x', '3', '14'], 15, 16, 17, 18, 19]"
4,753.3668885880579,"[['x', '1', '0'], ['x', '3', '1'], ['x', '7', '2'], ['x', '10', '3'], ['x', '14', '4'], ['x', '22', '5'], ['x', '19', '6'], ['x', '21', '7'], ['x', '15', '8'], ['x', '15', '9'], ['x', '18', '10'], ['x', '22', '11'], ['x', '2', '12'], ['x', '5', '13'], ['x', '9', '14']]"
5,758.5859642533251,"[['x', '16', '0'], ['x', '23', '1'], ['x', '18', '2'], ['x', '2', '3'], ['x', '6', '4'], ['x', '11', '5'], ['x', '13', '6'], ['x', '15', '7'], ['x', '21', '8'], ['x', '23', '9'], ['x', '26', '10'], ['x', '27', '11'], ['x', '10', '12'], ['x', '18', '13'], ['x', '27', '14']]"
6,1294.550517534568,"[['x', '1', '0'], ['x', '5', '1'], ['x', '10', '2'], ['x', '29', '3'], 4, ['x', '6', '5'], ['x', '23', '6'], ['x', '25', '7'], ['x', '28', '8'], ['x', '25', '9'], ['x', '27', '10'], ['x', '28', '11'], ['x', '1', '12'], ['x', '3', '13'], ['x', '9', '14'], 15, 16, 17, 18, 19, 20, 21, 22, 23]"
7,840.3986907720155,"[['x', '12', '0'], ['x', '14', '1'], ['x', '18', '2'], ['x', '16', '3'], ['x', '22', '4'], ['x', '11', '5'], ['x', '6', '6'], ['x', '8', '7'], ['x', '15', '8'], ['x', '21', '9'], ['x', '23', '10'], ['x', '26', '11'], ['x', '7', '12'], ['x', '9', '13'], ['x', '20', '14']]"
8,807.9774002326212,"[['x', '24', '0'], ['x', '11', '1'], ['x', '20', '2'], ['x', '0', '3'], ['x', '7', '4'], ['x', '12', '5'], ['x', '6', '6'], ['x', '13', '7'], ['x', '16', '8'], ['x', '19', '9'], ['x', '22', '10'], ['x', '24', '11'], ['x', '13', '12'], ['x', '16', '13'], ['x', '22', '14']]"
9,494.0532900487524,"[['x', '4', '0'], ['x', '7', '1'], ['x', '11', '2'], ['x', '16', '3'], ['x', '21', '4'], ['x', '27', '5'], ['x', '9', '6'], ['x', '19', '7'], ['x', '28', '8'], ['x', '3', '9'], ['x', '27', '10'], ['x', '29', '11'], ['x', '1', '12'], ['x', '11', '13'], ['x', '23', '14']]"
