trial,energy,sort_ans
0,525.9635655051588,"[['x', '10', '0'], ['x', '14', '1'], ['x', '27', '2'], ['x', '3', '3'], ['x', '16', '4'], ['x', '25', '5'], ['x', '2', '6'], ['x', '3', '7'], ['x', '19', '8'], ['x', '3', '9'], ['x', '6', '10'], ['x', '18', '11'], ['x', '12', '12'], ['x', '17', '13'], ['x', '22', '14']]"
1,714.7453695607346,"[['x', '13', '0'], ['x', '15', '1'], ['x', '16', '2'], ['x', '1', '3'], ['x', '6', '4'], ['x', '11', '5'], ['x', '10', '6'], ['x', '18', '7'], ['x', '20', '8'], ['x', '4', '9'], ['x', '5', '10'], ['x', '11', '11'], ['x', '15', '12'], ['x', '21', '13'], ['x', '25', '14']]"
2,531.1273011545964,"[['x', '1', '0'], ['x', '3', '1'], ['x', '4', '2'], ['x', '3', '3'], ['x', '7', '4'], ['x', '10', '5'], ['x', '22', '6'], ['x', '23', '7'], ['x', '25', '8'], ['x', '21', '9'], ['x', '15', '10'], ['x', '16', '11'], ['x', '21', '12'], ['x', '25', '13'], ['x', '29', '14']]"
3,814.5247073100836,"[['x', '13', '0'], ['x', '15', '1'], ['x', '18', '2'], ['x', '15', '3'], ['x', '23', '4'], ['x', '25', '5'], ['x', '14', '6'], ['x', '18', '7'], ['x', '23', '8'], ['x', '9', '9'], ['x', '12', '10'], ['x', '14', '11'], ['x', '1', '12'], ['x', '6', '13'], ['x', '11', '14']]"
4,686.3695644109812,"[['x', '4', '0'], ['x', '24', '1'], ['x', '26', '2'], ['x', '16', '3'], ['x', '23', '4'], ['x', '24', '5'], ['x', '8', '6'], ['x', '9', '7'], ['x', '11', '8'], ['x', '3', '9'], ['x', '11', '10'], ['x', '15', '11'], ['x', '9', '12'], ['x', '13', '13'], ['x', '19', '14']]"
5,926.32943293063,"[['x', '16', '0'], ['x', '18', '1'], ['x', '22', '2'], ['x', '12', '3'], ['x', '9', '4'], ['x', '14', '5'], ['x', '2', '6'], ['x', '3', '7'], ['x', '5', '8'], ['x', '17', '9'], ['x', '9', '10'], ['x', '13', '11'], ['x', '19', '12'], ['x', '23', '13'], ['x', '27', '14']]"
6,861.4547178018129,"[['x', '6', '0'], ['x', '8', '1'], ['x', '10', '2'], ['x', '9', '3'], ['x', '16', '4'], ['x', '12', '5'], ['x', '4', '6'], ['x', '5', '7'], ['x', '8', '8'], ['x', '18', '9'], ['x', '19', '10'], ['x', '20', '11'], ['x', '17', '12'], ['x', '21', '13'], ['x', '25', '14']]"
7,577.9359347805039,"[['x', '22', '0'], ['x', '25', '1'], ['x', '29', '2'], ['x', '5', '3'], ['x', '14', '4'], ['x', '17', '5'], ['x', '15', '6'], ['x', '17', '7'], ['x', '22', '8'], ['x', '7', '9'], ['x', '12', '10'], ['x', '14', '11'], ['x', '1', '12'], ['x', '7', '13'], ['x', '16', '14']]"
8,879.4426390435747,"[['x', '11', '0'], ['x', '15', '1'], ['x', '21', '2'], ['x', '2', '3'], ['x', '6', '4'], ['x', '8', '5'], ['x', '4', '6'], ['x', '5', '7'], ['x', '6', '8'], ['x', '22', '9'], ['x', '23', '10'], ['x', '26', '11'], ['x', '15', '12'], ['x', '19', '13'], ['x', '19', '14']]"
9,955.2911576280167,"[['x', '12', '0'], ['x', '16', '1'], ['x', '18', '2'], ['x', '3', '3'], ['x', '9', '4'], ['x', '11', '5'], ['x', '18', '6'], ['x', '21', '7'], ['x', '4', '8'], ['x', '6', '9'], ['x', '9', '10'], ['x', '12', '11'], ['x', '20', '12'], ['x', '10', '13'], ['x', '14', '14']]"
