trial,energy,sort_ans
0,855.7025074635276,"[['x', '18', '0'], ['x', '23', '1'], ['x', '27', '2'], ['x', '22', '3'], ['x', '26', '4'], ['x', '28', '5'], ['x', '9', '6'], ['x', '13', '7'], ['x', '16', '8'], ['x', '26', '9'], ['x', '27', '10'], ['x', '3', '11'], ['x', '11', '12'], ['x', '13', '13'], ['x', '21', '14']]"
1,725.1016393479804,"[['x', '20', '0'], ['x', '28', '1'], ['x', '8', '2'], ['x', '11', '3'], ['x', '17', '4'], ['x', '26', '5'], ['x', '8', '6'], ['x', '11', '7'], ['x', '23', '8'], ['x', '10', '9'], ['x', '17', '10'], ['x', '29', '11'], ['x', '2', '12'], ['x', '10', '13'], ['x', '12', '14']]"
2,577.3460558174456,"[['x', '9', '0'], ['x', '1', '1'], ['x', '3', '2'], ['x', '6', '3'], ['x', '10', '4'], ['x', '14', '5'], ['x', '10', '6'], ['x', '11', '7'], ['x', '13', '8'], ['x', '14', '9'], ['x', '15', '10'], ['x', '17', '11'], ['x', '22', '12'], ['x', '24', '13'], ['x', '26', '14']]"
3,621.59407210668,"[['x', '22', '0'], ['x', '24', '1'], ['x', '25', '2'], ['x', '14', '3'], ['x', '18', '4'], ['x', '20', '5'], ['x', '3', '6'], ['x', '5', '7'], ['x', '9', '8'], ['x', '12', '9'], ['x', '13', '10'], ['x', '15', '11'], ['x', '5', '12'], ['x', '7', '13'], ['x', '6', '14']]"
4,587.5953215522277,"[['x', '0', '0'], ['x', '6', '1'], ['x', '9', '2'], ['x', '16', '3'], ['x', '20', '4'], ['x', '23', '5'], ['x', '9', '6'], ['x', '12', '7'], ['x', '18', '8'], ['x', '3', '9'], ['x', '4', '10'], ['x', '5', '11'], ['x', '7', '12'], ['x', '9', '13'], ['x', '11', '14']]"
5,762.076282971344,"[['x', '22', '0'], ['x', '24', '1'], ['x', '26', '2'], ['x', '8', '3'], ['x', '12', '4'], ['x', '17', '5'], ['x', '11', '6'], ['x', '17', '7'], ['x', '22', '8'], ['x', '4', '9'], ['x', '8', '10'], ['x', '12', '11'], ['x', '1', '12'], ['x', '7', '13'], ['x', '11', '14']]"
6,382.5478528532785,"[['x', '6', '0'], ['x', '15', '1'], ['x', '17', '2'], ['x', '3', '3'], ['x', '8', '4'], ['x', '10', '5'], ['x', '19', '6'], ['x', '20', '7'], ['x', '27', '8'], ['x', '7', '9'], ['x', '13', '10'], ['x', '14', '11'], ['x', '4', '12'], ['x', '6', '13'], ['x', '22', '14']]"
7,713.1932587558131,"[['x', '17', '0'], ['x', '23', '1'], ['x', '25', '2'], ['x', '17', '3'], ['x', '24', '4'], ['x', '26', '5'], ['x', '4', '6'], ['x', '7', '7'], ['x', '9', '8'], ['x', '5', '9'], ['x', '10', '10'], ['x', '23', '11'], ['x', '9', '12'], ['x', '12', '13'], ['x', '24', '14']]"
8,560.6149859323086,"[['x', '12', '0'], ['x', '13', '1'], ['x', '22', '2'], ['x', '11', '3'], ['x', '16', '4'], ['x', '18', '5'], ['x', '9', '6'], ['x', '19', '7'], ['x', '27', '8'], ['x', '1', '9'], ['x', '9', '10'], ['x', '24', '11'], ['x', '6', '12'], ['x', '9', '13'], ['x', '12', '14']]"
9,427.60914887461877,"[['x', '7', '0'], ['x', '12', '1'], ['x', '14', '2'], ['x', '4', '3'], ['x', '8', '4'], ['x', '15', '5'], ['x', '1', '6'], ['x', '2', '7'], ['x', '6', '8'], ['x', '2', '9'], ['x', '7', '10'], ['x', '10', '11'], ['x', '24', '12'], ['x', '27', '13'], ['x', '29', '14']]"
