trial,energy,sort_ans
0,466.46721548841197,"[['x', '12', '0'], ['x', '13', '1'], ['x', '25', '2'], ['x', '21', '3'], ['x', '27', '4'], ['x', '29', '5'], ['x', '0', '6'], ['x', '6', '7'], ['x', '27', '8'], ['x', '8', '9'], ['x', '11', '10'], ['x', '12', '11'], ['x', '14', '12'], ['x', '17', '13'], ['x', '19', '14']]"
1,547.2663032084984,"[['x', '7', '0'], ['x', '9', '1'], ['x', '14', '2'], ['x', '16', '3'], ['x', '20', '4'], ['x', '24', '5'], ['x', '9', '6'], ['x', '15', '7'], ['x', '21', '8'], ['x', '10', '9'], ['x', '14', '10'], ['x', '18', '11'], ['x', '11', '12'], ['x', '13', '13'], ['x', '18', '14']]"
2,468.67678228647856,"[['x', '13', '0'], ['x', '14', '1'], ['x', '25', '2'], ['x', '1', '3'], ['x', '12', '4'], ['x', '23', '5'], ['x', '15', '6'], ['x', '16', '7'], ['x', '19', '8'], ['x', '8', '9'], ['x', '10', '10'], ['x', '14', '11'], ['x', '2', '12'], ['x', '26', '13'], ['x', '28', '14']]"
3,552.7385788139673,"[['x', '2', '0'], ['x', '3', '1'], ['x', '5', '2'], ['x', '2', '3'], ['x', '6', '4'], ['x', '22', '5'], ['x', '1', '6'], ['x', '8', '7'], ['x', '12', '8'], ['x', '5', '9'], ['x', '7', '10'], ['x', '9', '11'], ['x', '22', '12'], ['x', '24', '13'], ['x', '26', '14']]"
4,411.48345191554654,"[['x', '1', '0'], ['x', '7', '1'], ['x', '19', '2'], ['x', '5', '3'], ['x', '12', '4'], ['x', '18', '5'], ['x', '18', '6'], ['x', '21', '7'], ['x', '24', '8'], ['x', '0', '9'], ['x', '6', '10'], ['x', '15', '11'], ['x', '3', '12'], ['x', '8', '13'], ['x', '24', '14']]"
5,388.8501121373647,"[['x', '11', '0'], ['x', '12', '1'], ['x', '29', '2'], ['x', '10', '3'], ['x', '22', '4'], ['x', '26', '5'], ['x', '6', '6'], ['x', '8', '7'], ['x', '12', '8'], ['x', '13', '9'], ['x', '15', '10'], ['x', '17', '11'], ['x', '2', '12'], ['x', '6', '13'], ['x', '15', '14']]"
6,728.2831578357363,"[['x', '16', '0'], ['x', '21', '1'], ['x', '22', '2'], ['x', '1', '3'], ['x', '10', '4'], ['x', '15', '5'], ['x', '24', '6'], ['x', '16', '7'], ['x', '19', '8'], ['x', '7', '9'], ['x', '8', '10'], ['x', '14', '11'], ['x', '11', '12'], ['x', '18', '13'], ['x', '24', '14']]"
7,618.3926039900707,"[['x', '8', '0'], ['x', '18', '1'], ['x', '27', '2'], ['x', '3', '3'], ['x', '10', '4'], ['x', '14', '5'], ['x', '12', '6'], ['x', '15', '7'], ['x', '19', '8'], ['x', '0', '9'], ['x', '3', '10'], ['x', '5', '11'], ['x', '2', '12'], ['x', '5', '13'], ['x', '9', '14']]"
8,512.2278377079656,"[['x', '0', '0'], ['x', '10', '1'], ['x', '21', '2'], ['x', '16', '3'], ['x', '24', '4'], ['x', '29', '5'], ['x', '21', '6'], ['x', '23', '7'], ['x', '28', '8'], ['x', '9', '9'], ['x', '10', '10'], ['x', '11', '11'], ['x', '1', '12'], ['x', '4', '13'], ['x', '10', '14']]"
9,582.1156212523474,"[['x', '11', '0'], ['x', '18', '1'], ['x', '23', '2'], ['x', '6', '3'], ['x', '16', '4'], ['x', '19', '5'], ['x', '8', '6'], ['x', '13', '7'], ['x', '15', '8'], ['x', '3', '9'], ['x', '5', '10'], ['x', '9', '11'], ['x', '5', '12'], ['x', '8', '13'], ['x', '18', '14']]"
10,588.7021253886414,"[['x', '16', '0'], ['x', '19', '1'], ['x', '29', '2'], ['x', '1', '3'], ['x', '10', '4'], ['x', '12', '5'], ['x', '3', '6'], ['x', '4', '7'], ['x', '6', '8'], ['x', '7', '9'], ['x', '12', '10'], ['x', '21', '11'], ['x', '23', '12'], ['x', '12', '13'], ['x', '23', '14']]"
11,369.85328784646117,"[['x', '5', '0'], ['x', '16', '1'], ['x', '26', '2'], ['x', '2', '3'], ['x', '12', '4'], ['x', '14', '5'], ['x', '3', '6'], ['x', '7', '7'], ['x', '13', '8'], ['x', '4', '9'], ['x', '6', '10'], ['x', '8', '11'], ['x', '0', '12'], ['x', '18', '13'], ['x', '23', '14']]"
12,448.0758832365191,"[['x', '21', '0'], ['x', '22', '1'], ['x', '28', '2'], ['x', '14', '3'], ['x', '25', '4'], ['x', '29', '5'], ['x', '18', '6'], ['x', '22', '7'], ['x', '24', '8'], ['x', '7', '9'], ['x', '10', '10'], ['x', '20', '11'], ['x', '1', '12'], ['x', '13', '13'], ['x', '15', '14']]"
13,464.6171019075082,"[['x', '5', '0'], ['x', '9', '1'], ['x', '16', '2'], ['x', '12', '3'], ['x', '17', '4'], ['x', '21', '5'], ['x', '16', '6'], ['x', '17', '7'], ['x', '23', '8'], ['x', '9', '9'], ['x', '11', '10'], ['x', '13', '11'], ['x', '13', '12'], ['x', '15', '13'], ['x', '19', '14']]"
