trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,E
0,450,759.6867632494486,False,-2.2737367544323206e-13,0.0,185.44082423517696,325.0,249.24593901427332,685.2354156098437,202.55656897619,185.44082423517696,17.80328135816238
1,450,915.9537158922158,False,-2.2737367544323206e-13,0.0,228.94685804419103,325.0,362.006857848025,733.2050620828455,168.42048040957252,228.94685804419103,15.08361907700104
2,450,882.1428791628532,False,1.8189894035458565e-12,0.0,399.2931315564535,325.0,157.8497476063971,681.3608995113211,169.54161762572744,199.64656577822674,19.731218450799638
3,450,571.6170886071195,False,1.5916157281026244e-12,0.0,0.0,325.0,246.6170886071167,718.2785578705046,146.63308327432404,248.76859667706967,14.506887565124511
4,450,939.9991997607067,False,6.821210263296962e-13,0.0,485.37297633223636,325.0,129.62622342847015,649.9017957853545,182.00612323157662,242.68648816611818,25.92524468569403
5,450,844.2718624886547,False,6.821210263296962e-13,0.0,0.0,325.0,519.2718624886556,700.5938753553074,146.77294654973159,197.8418663466702,20.770874499546224
6,450,670.2336485681444,False,6.821210263296962e-13,0.0,180.93459007890272,325.0,164.29905848924227,715.0915992245483,216.87647908247476,180.93459007890272,20.537382311155284
7,450,697.7120307538789,False,2.7284841053187847e-12,0.0,151.69151796817826,325.0,221.020512785697,693.3230297911655,210.6683987821259,151.69151796817826,10.046386944804409
8,450,779.3348463065231,False,1.8189894035458565e-12,0.0,200.33455359353033,325.0,254.00029271299175,623.1107268795352,189.7420541787955,200.33455359353033,21.166691059415978
9,450,436.04156545074875,False,-2.2737367544323206e-13,0.0,0.0,325.0,111.04156545075124,672.838149687571,169.64035411244174,226.26892691384805,2.582361987226773
10,450,714.060349875368,False,2.2737367544323206e-13,0.0,0.0,325.0,389.0603498753695,630.1734932182695,241.76203646881885,220.05543302397035,16.21084791147373
11,450,553.0196834980998,False,9.094947017729282e-13,0.0,0.0,325.0,228.01968349809533,740.4071328465625,165.87980529382602,161.99036983037146,5.561455695075496
12,450,469.3220412603787,True,0.0,0.0,0.0,325.0,144.32204126037914,700.6430982878155,202.44831561457187,168.78768823753794,3.0067091929245655
13,450,868.6784957986238,False,-6.821210263296962e-13,0.0,342.84461977834655,325.0,200.8338760202775,656.364947619113,169.85172888681643,171.42230988917328,15.448759693867501
14,450,747.8933638354156,True,0.0,0.0,0.0,325.0,422.89336383541547,646.2321977587399,233.03279335913146,194.7060350001842,26.430835239713463
