trial,energy,sort_ans
0,782.0019991506542,"[['x', '5', '0'], ['x', '10', '1'], ['x', '11', '2'], ['x', '13', '3'], ['x', '17', '4'], ['x', '20', '5'], ['x', '19', '6'], ['x', '23', '7'], ['x', '28', '8'], ['x', '11', '9'], ['x', '15', '10'], ['x', '19', '11'], ['x', '21', '12'], ['x', '23', '13'], ['x', '27', '14'], ['x', '2', '15'], ['x', '4', '16'], ['x', '12', '17']]"
1,1368.6850491943587,"[['x', '0', '0'], ['x', '8', '1'], ['x', '14', '2'], ['x', '6', '3'], ['x', '12', '4'], ['x', '24', '5'], ['x', '11', '6'], ['x', '19', '7'], ['x', '21', '8'], ['x', '2', '9'], ['x', '3', '10'], ['x', '5', '11'], ['x', '17', '12'], ['x', '2', '13'], ['x', '6', '14'], ['x', '13', '15'], ['x', '4', '16'], ['x', '9', '17']]"
2,1060.371168611142,"[['x', '16', '0'], ['x', '24', '1'], ['x', '28', '2'], ['x', '2', '3'], ['x', '10', '4'], ['x', '12', '5'], ['x', '4', '6'], ['x', '12', '7'], ['x', '22', '8'], ['x', '18', '9'], ['x', '24', '10'], ['x', '26', '11'], ['x', '10', '12'], ['x', '13', '13'], ['x', '18', '14'], ['x', '22', '15'], ['x', '26', '16'], ['x', '16', '17']]"
3,1116.5988671858104,"[['x', '9', '0'], ['x', '17', '1'], ['x', '26', '2'], ['x', '1', '3'], ['x', '10', '4'], ['x', '25', '5'], ['x', '12', '6'], ['x', '14', '7'], ['x', '18', '8'], ['x', '0', '9'], ['x', '1', '10'], ['x', '2', '11'], ['x', '18', '12'], ['x', '21', '13'], ['x', '13', '14'], ['x', '1', '15'], ['x', '4', '16'], ['x', '9', '17']]"
4,1334.4863565441665,"[['x', '14', '0'], ['x', '19', '1'], ['x', '24', '2'], ['x', '7', '3'], ['x', '11', '4'], ['x', '21', '5'], ['x', '23', '6'], ['x', '26', '7'], ['x', '29', '8'], ['x', '20', '9'], ['x', '21', '10'], ['x', '20', '11'], ['x', '11', '12'], ['x', '13', '13'], ['x', '19', '14'], ['x', '6', '15'], ['x', '3', '16'], ['x', '6', '17']]"
5,1028.8876237562527,"[['x', '12', '0'], ['x', '20', '1'], ['x', '23', '2'], ['x', '16', '3'], ['x', '24', '4'], ['x', '7', '5'], ['x', '1', '6'], ['x', '4', '7'], ['x', '13', '8'], ['x', '3', '9'], ['x', '13', '10'], ['x', '22', '11'], ['x', '7', '12'], ['x', '10', '13'], ['x', '16', '14'], ['x', '4', '15'], ['x', '15', '16'], ['x', '18', '17']]"
6,1493.0640094459777,"[['x', '22', '0'], ['x', '10', '1'], ['x', '12', '2'], ['x', '15', '3'], ['x', '23', '4'], ['x', '25', '5'], ['x', '8', '6'], ['x', '20', '7'], ['x', '20', '8'], ['x', '4', '9'], ['x', '8', '10'], ['x', '11', '11'], ['x', '18', '12'], ['x', '24', '13'], ['x', '26', '14'], ['x', '6', '15'], ['x', '9', '16'], ['x', '13', '17']]"
7,884.68929777638,"[['x', '25', '0'], ['x', '28', '1'], ['x', '6', '2'], ['x', '16', '3'], ['x', '23', '4'], ['x', '25', '5'], ['x', '21', '6'], ['x', '27', '7'], ['x', '29', '8'], ['x', '25', '9'], ['x', '26', '10'], ['x', '27', '11'], ['x', '4', '12'], ['x', '9', '13'], ['x', '17', '14'], ['x', '10', '15'], ['x', '13', '16'], ['x', '16', '17']]"
8,1334.7048071156314,"[['x', '0', '0'], ['x', '10', '1'], ['x', '5', '2'], ['x', '19', '3'], ['x', '17', '4'], ['x', '20', '5'], ['x', '10', '6'], ['x', '13', '7'], ['x', '15', '8'], ['x', '22', '9'], ['x', '23', '10'], ['x', '24', '11'], ['x', '12', '12'], ['x', '15', '13'], ['x', '23', '14'], ['x', '3', '15'], ['x', '14', '16'], ['x', '18', '17']]"
9,1029.04254580222,"[['x', '11', '0'], ['x', '15', '1'], ['x', '22', '2'], ['x', '1', '3'], ['x', '4', '4'], ['x', '6', '5'], ['x', '12', '6'], ['x', '13', '7'], ['x', '18', '8'], ['x', '20', '9'], ['x', '25', '10'], ['x', '26', '11'], ['x', '18', '12'], ['x', '21', '13'], ['x', '25', '14'], ['x', '0', '15'], ['x', '6', '16'], ['x', '9', '17']]"
10,990.4331486469964,"[['x', '8', '0'], ['x', '16', '1'], ['x', '17', '2'], ['x', '22', '3'], ['x', '27', '4'], ['x', '29', '5'], ['x', '14', '6'], ['x', '8', '7'], ['x', '9', '8'], ['x', '13', '9'], ['x', '21', '10'], ['x', '23', '11'], ['x', '3', '12'], ['x', '11', '13'], ['x', '16', '14'], ['x', '20', '15'], ['x', '22', '16'], ['x', '25', '17']]"
11,1368.1348013567367,"[['x', '0', '0'], ['x', '8', '1'], ['x', '21', '2'], ['x', '13', '3'], ['x', '23', '4'], ['x', '29', '5'], ['x', '3', '6'], ['x', '4', '7'], ['x', '6', '8'], ['x', '23', '9'], ['x', '26', '10'], ['x', '19', '11'], ['x', '0', '12'], ['x', '3', '13'], ['x', '11', '14'], ['x', '19', '15'], ['x', '6', '16'], ['x', '12', '17']]"
