trial,energy,sort_ans
0,1507.3671384555073,"[['x', '25', '0'], ['x', '27', '1'], ['x', '8', '2'], ['x', '5', '3'], ['x', '17', '4'], ['x', '21', '5'], ['x', '18', '6'], ['x', '5', '7'], ['x', '15', '8'], ['x', '2', '9'], ['x', '9', '10'], ['x', '19', '11'], ['x', '9', '12'], ['x', '13', '13'], ['x', '20', '14'], ['x', '18', '15'], ['x', '21', '16'], ['x', '28', '17']]"
1,1278.5165085097833,"[['x', '7', '0'], ['x', '14', '1'], ['x', '24', '2'], ['x', '13', '3'], ['x', '17', '4'], ['x', '25', '5'], ['x', '10', '6'], ['x', '12', '7'], ['x', '20', '8'], ['x', '9', '9'], ['x', '15', '10'], ['x', '18', '11'], ['x', '19', '12'], ['x', '23', '13'], ['x', '23', '14'], ['x', '3', '15'], ['x', '5', '16'], ['x', '16', '17']]"
2,1431.5730515231226,"[['x', '18', '0'], ['x', '5', '1'], ['x', '6', '2'], ['x', '5', '3'], ['x', '11', '4'], ['x', '23', '5'], ['x', '13', '6'], ['x', '8', '7'], ['x', '16', '8'], ['x', '10', '9'], ['x', '17', '10'], ['x', '21', '11'], ['x', '21', '12'], ['x', '2', '13'], ['x', '12', '14'], ['x', '17', '15'], ['x', '19', '16'], ['x', '26', '17']]"
3,1434.2672977152324,"[['x', '26', '0'], ['x', '13', '1'], ['x', '14', '2'], ['x', '4', '3'], ['x', '6', '4'], ['x', '10', '5'], ['x', '16', '6'], ['x', '19', '7'], ['x', '19', '8'], ['x', '3', '9'], ['x', '4', '10'], ['x', '12', '11'], ['x', '7', '12'], ['x', '10', '13'], ['x', '16', '14'], ['x', '19', '15'], ['x', '21', '16'], ['x', '24', '17']]"
4,1645.876872571469,"[['x', '2', '0'], ['x', '8', '1'], ['x', '7', '2'], ['x', '11', '3'], ['x', '15', '4'], ['x', '22', '5'], ['x', '4', '6'], ['x', '9', '7'], ['x', '19', '8'], ['x', '24', '9'], ['x', '4', '10'], ['x', '5', '11'], ['x', '21', '12'], ['x', '23', '13'], ['x', '27', '14'], ['x', '5', '15'], ['x', '16', '16'], ['x', '23', '17']]"
5,1037.6934632160755,"[['x', '16', '0'], ['x', '19', '1'], ['x', '22', '2'], ['x', '19', '3'], ['x', '23', '4'], ['x', '28', '5'], ['x', '5', '6'], ['x', '11', '7'], ['x', '22', '8'], ['x', '12', '9'], ['x', '13', '10'], ['x', '19', '11'], ['x', '7', '12'], ['x', '17', '13'], ['x', '27', '14'], ['x', '10', '15'], ['x', '3', '16'], ['x', '20', '17']]"
6,1385.0575172950666,"[['x', '9', '0'], ['x', '15', '1'], ['x', '29', '2'], ['x', '0', '3'], ['x', '7', '4'], ['x', '13', '5'], ['x', '15', '6'], ['x', '17', '7'], ['x', '24', '8'], ['x', '17', '9'], ['x', '19', '10'], ['x', '23', '11'], ['x', '9', '12'], ['x', '11', '13'], ['x', '27', '14'], ['x', '20', '15'], ['x', '22', '16'], ['x', '18', '17']]"
7,1600.178744113513,"[['x', '5', '0'], ['x', '10', '1'], ['x', '11', '2'], ['x', '7', '3'], ['x', '16', '4'], ['x', '28', '5'], ['x', '1', '6'], ['x', '4', '7'], ['x', '17', '8'], ['x', '3', '9'], ['x', '7', '10'], ['x', '8', '11'], ['x', '7', '12'], ['x', '10', '13'], ['x', '20', '14'], ['x', '2', '15'], 16, ['x', '3', '17'], 18, 19, 20, 21, 22, 23, 24, 25, 26]"
8,1847.2945628492998,"[['x', '6', '0'], ['x', '16', '1'], ['x', '19', '2'], ['x', '0', '3'], ['x', '11', '4'], ['x', '8', '5'], ['x', '2', '6'], ['x', '9', '7'], ['x', '17', '8'], ['x', '19', '9'], ['x', '15', '10'], ['x', '18', '11'], ['x', '0', '12'], ['x', '2', '13'], ['x', '11', '14'], ['x', '14', '15'], ['x', '16', '16'], ['x', '23', '17']]"
9,1619.6285279072818,"[['x', '3', '0'], ['x', '2', '1'], ['x', '4', '2'], ['x', '15', '3'], ['x', '19', '4'], ['x', '24', '5'], ['x', '20', '6'], ['x', '25', '7'], ['x', '28', '8'], ['x', '11', '9'], ['x', '12', '10'], ['x', '13', '11'], ['x', '1', '12'], ['x', '4', '13'], ['x', '16', '14'], ['x', '29', '15'], 16, ['x', '8', '17'], 18, 19, 20, 21, 22, 23, 24, 25]"
