trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,E
0,540,894.9571806985896,False,-2.9558577807620168e-12,0.0,0.0,427.0,467.95718069858754,691.5194503788923,243.3163156559748,215.65916085106716,16.136454506847848
1,540,1466.70649688907,False,-4.547473508864641e-13,190.88889079239624,191.4696382714645,427.0,657.3479678252138,1279.9758081188036,190.88889079239624,191.4696382714645,16.433699195630346
2,540,1016.2995195734511,False,-2.2737367544323206e-12,0.0,203.67259049368,427.0,385.626929079779,1458.1393536837052,281.3898952113142,203.67259049368,11.017912259422257
3,540,886.858191268886,False,3.637978807091713e-12,0.0,0.0,427.0,459.8581912688875,1183.4629351721364,256.90530404743504,205.53761321855924,12.101531349181249
4,540,1115.6915103821084,False,3.410605131648481e-12,152.06526743860235,0.0,427.0,536.6262429435028,1003.0831653078097,152.06526743860235,265.9239932418561,17.887541431450096
5,540,951.1381347839342,False,-2.5011104298755527e-12,0.0,161.3071862464465,427.0,362.8309485374927,864.8859839013724,242.30942676502406,161.3071862464465,8.63883210803554
6,540,1413.0607633705222,False,1.8189894035458565e-12,0.0,419.1607733178463,427.0,566.8999900526696,1433.1401019825216,247.7067214839866,209.58038665892315,16.19714257293342
7,540,801.342621944641,False,2.0463630789890885e-12,0.0,0.0,427.0,374.34262194464475,816.8361221688713,235.21479789391037,280.3691084341839,9.851121630122229
8,540,1387.3973959435425,False,0.0,0.0,255.6391456677503,427.0,704.7582502757907,1302.1476420801591,171.56502367718468,255.6391456677503,14.682463547412306
9,540,992.3071712792098,False,-2.9558577807620168e-12,0.0,216.32111331062652,427.0,348.98605796858567,718.7921056740886,288.7301442923348,216.32111331062652,18.367687261504507
10,540,831.124997112951,False,1.8189894035458565e-12,0.0,174.01322267488376,427.0,230.11177443806673,550.8758643355497,218.03595454194414,174.01322267488376,17.700905726005132
11,540,1368.134801356733,False,4.547473508864641e-13,0.0,374.41701545131525,427.0,566.7177859054194,1194.5461682327962,165.1647816324974,187.20850772565763,14.531225279626138
