iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,508,28,89.7,6.6000000000000005,0
100,513,28,90.70000000000002,14.4,0
100,521,27,78.3,15.4,0
100,533,27,91.39999999999999,8.900000000000002,0
100,524,26,91.9,5.2,0
100,502,27,87.20000000000002,7.0,0
100,532,28,92.39999999999999,10.1,0
100,504,28,80.8,7.9,0
100,516,27,86.0,13.500000000000002,0
100,538,28,93.2,3.900000000000001,0
100,506,27,81.30000000000001,8.3,0
100,526,27,90.89999999999999,6.0,0
100,527,27,91.10000000000002,8.0,0
100,532,28,89.70000000000002,12.400000000000002,0
100,507,28,84.70000000000002,11.700000000000001,0
100,520,28,91.7,8.4,0
100,533,28,89.90000000000002,9.600000000000001,0
100,516,29,89.8,6.700000000000001,0
100,519,29,95.30000000000003,6.6000000000000005,0
100,513,27,88.4,8.000000000000002,0
200,511,28,84.7,4.9,0
200,506,27,82.8,10.100000000000001,0
200,520,27,88.5,5.1,0
200,504,28,85.69999999999999,5.1000000000000005,0
200,512,27,81.0,9.300000000000002,0
200,525,28,91.0,8.400000000000002,0
200,520,26,88.70000000000002,6.4,0
200,511,28,88.89999999999999,8.3,0
200,520,28,82.7,10.200000000000001,0
200,521,28,87.4,9.600000000000001,0
200,498,29,87.59999999999998,5.7,0
200,502,29,84.79999999999998,5.6000000000000005,0
200,502,25,90.5,5.300000000000001,0
200,509,27,85.8,5.4,0
200,502,26,80.5,4.9,0
200,504,29,85.6,10.6,0
200,504,29,84.2,9.800000000000002,0
200,518,25,87.69999999999999,6.1000000000000005,0
200,511,29,94.60000000000001,3.3000000000000003,0
200,507,28,87.6,5.0,0
