iteration,resource_cost,wating_time,feasible
100,877.0,32.0,0
100,783.0,98.0,0
100,870.0,81.0,0
100,784.0,127.0,0
100,759.0,101.0,0
100,857.0,56.0,0
100,930.0,53.0,0
100,871.0,66.0,0
100,974.0,92.0,0
100,748.0,88.0,0
100,895.0,107.0,0
100,853.0,43.0,0
100,911.0,70.0,0
100,819.0,77.0,0
100,817.0,85.0,0
100,877.0,65.0,0
100,916.0,31.0,0
100,756.0,93.0,{}
100,865.0,74.0,0
100,758.0,67.0,0
200,879.0,37.0,0
200,872.0,70.0,0
200,829.0,53.0,0
200,832.0,77.0,0
200,802.0,95.0,0
200,830.0,42.0,0
200,825.0,74.0,0
200,833.0,68.0,0
200,829.0,36.0,0
200,850.0,75.0,0
200,861.0,100.0,0
200,814.0,52.0,0
200,855.0,43.0,0
200,859.0,93.0,0
200,839.0,90.0,0
200,826.0,72.0,0
200,813.0,89.0,0
200,828.0,45.0,0
200,828.0,106.0,0
200,859.0,70.0,0
